{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 13:28:54.922390', 'mgs': 0, 'depth': 1.843, 'time': 1.26, 'pitch': -1.09, 'roll': -7.02}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.27, 'datetime': '2018-10-12 13:28:54.939351', 'mgs': 0, 'depth': 1.92, 'time': 1.36, 'pitch': -1.31, 'roll': -7.02}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.48, 'datetime': '2018-10-12 13:28:54.956271', 'mgs': 0, 'depth': 1.843, 'time': 1.46, 'pitch': -1.46, 'roll': -7.05}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-12 13:28:54.973320', 'mgs': 0, 'depth': 1.843, 'time': 1.55, 'pitch': -1.55, 'roll': -7.14}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.76, 'datetime': '2018-10-12 13:28:54.990429', 'mgs': 0, 'depth': 1.843, 'time': 1.65, 'pitch': -1.62, 'roll': -7.15}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-12 13:28:54.998644', 'mgs': 0, 'depth': 1.843, 'time': 1.75, 'pitch': -1.71, 'roll': -7.15}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-12 13:28:55.005965', 'mgs': 0, 'depth': 1.767, 'time': 1.85, 'pitch': -1.73, 'roll': -7.16}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-12 13:28:55.013304', 'mgs': 0, 'depth': 1.843, 'time': 1.94, 'pitch': -1.67, 'roll': -7.16}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.76, 'datetime': '2018-10-12 13:28:55.020665', 'mgs': 0, 'depth': 1.843, 'time': 2.04, 'pitch': -1.51, 'roll': -7.16}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.72, 'datetime': '2018-10-12 13:28:55.077005', 'mgs': 0, 'depth': 1.92, 'time': 2.14, 'pitch': -1.25, 'roll': -7.19}
{'lipoC2': 7.93, 'temp': 25.81, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.67, 'datetime': '2018-10-12 13:28:55.174002', 'mgs': 0, 'depth': 1.767, 'time': 2.24, 'pitch': -0.92, 'roll': -7.23}
