{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.5, 'datetime': '2018-10-12 14:05:44.399794', 'mgs': 0, 'depth': 2.225, 'time': 1.36, 'pitch': -0.2, 'roll': -6.54}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.96, 'datetime': '2018-10-12 14:05:44.416755', 'mgs': 0, 'depth': 2.148, 'time': 1.46, 'pitch': 0.12, 'roll': -6.35}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.23, 'datetime': '2018-10-12 14:05:44.433671', 'mgs': 0, 'depth': 2.225, 'time': 1.55, 'pitch': 0.61, 'roll': -6.52}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.29, 'datetime': '2018-10-12 14:05:44.450588', 'mgs': 0, 'depth': 2.225, 'time': 1.65, 'pitch': 1.26, 'roll': -7.19}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.28, 'datetime': '2018-10-12 14:05:44.467445', 'mgs': 0, 'depth': 2.148, 'time': 1.75, 'pitch': 1.83, 'roll': -7.98}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.16, 'datetime': '2018-10-12 14:05:44.482932', 'mgs': 0, 'depth': 2.148, 'time': 1.84, 'pitch': 2.38, 'roll': -8.75}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.9, 'datetime': '2018-10-12 14:05:44.490274', 'mgs': 0, 'depth': 2.148, 'time': 1.94, 'pitch': 2.89, 'roll': -9.23}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.71, 'datetime': '2018-10-12 14:05:44.497575', 'mgs': 0, 'depth': 2.148, 'time': 2.04, 'pitch': 3.12, 'roll': -9.47}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.58, 'datetime': '2018-10-12 14:05:44.504937', 'mgs': 0, 'depth': 2.148, 'time': 2.14, 'pitch': 3.11, 'roll': -9.7}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.37, 'datetime': '2018-10-12 14:05:44.590028', 'mgs': 0, 'depth': 2.148, 'time': 2.23, 'pitch': 2.97, 'roll': -9.93}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.1, 'datetime': '2018-10-12 14:05:44.687087', 'mgs': 0, 'depth': 2.148, 'time': 2.33, 'pitch': 2.67, 'roll': -10.19}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.2, 'datetime': '2018-10-12 14:05:44.784145', 'mgs': 0, 'depth': 2.148, 'time': 2.43, 'pitch': 2.29, 'roll': -10.38}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.58, 'datetime': '2018-10-12 14:05:44.881126', 'mgs': 0, 'depth': 2.148, 'time': 2.52, 'pitch': 1.77, 'roll': -10.65}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.0, 'datetime': '2018-10-12 14:05:44.978158', 'mgs': 0, 'depth': 2.148, 'time': 2.62, 'pitch': 1.17, 'roll': -10.74}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.38, 'datetime': '2018-10-12 14:05:45.076506', 'mgs': 0, 'depth': 2.225, 'time': 2.72, 'pitch': 0.59, 'roll': -10.71}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.79, 'datetime': '2018-10-12 14:05:45.173521', 'mgs': 0, 'depth': 2.148, 'time': 2.82, 'pitch': -0.09, 'roll': -10.46}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.23, 'datetime': '2018-10-12 14:05:45.275838', 'mgs': 0, 'depth': 2.148, 'time': 2.91, 'pitch': -0.75, 'roll': -9.98}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.51, 'datetime': '2018-10-12 14:05:45.373395', 'mgs': 0, 'depth': 2.225, 'time': 3.01, 'pitch': -1.36, 'roll': -9.55}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.75, 'datetime': '2018-10-12 14:05:45.471950', 'mgs': 0, 'depth': 2.301, 'time': 3.11, 'pitch': -2.05, 'roll': -8.91}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.8, 'datetime': '2018-10-12 14:05:45.569208', 'mgs': 0, 'depth': 2.301, 'time': 3.21, 'pitch': -2.77, 'roll': -7.97}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.73, 'datetime': '2018-10-12 14:05:45.666151', 'mgs': 0, 'depth': 2.301, 'time': 3.31, 'pitch': -3.39, 'roll': -7.01}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.76, 'datetime': '2018-10-12 14:05:45.759297', 'mgs': 0, 'depth': 2.301, 'time': 3.4, 'pitch': -3.69, 'roll': -6.64}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.78, 'datetime': '2018-10-12 14:05:45.862651', 'mgs': 0, 'depth': 2.454, 'time': 3.5, 'pitch': -3.86, 'roll': -6.62}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.77, 'datetime': '2018-10-12 14:05:45.954124', 'mgs': 0, 'depth': 2.301, 'time': 3.6, 'pitch': -3.82, 'roll': -6.57}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.48, 'datetime': '2018-10-12 14:05:46.051133', 'mgs': 0, 'depth': 2.301, 'time': 3.69, 'pitch': -3.75, 'roll': -7.01}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.94, 'datetime': '2018-10-12 14:05:46.148179', 'mgs': 0, 'depth': 2.377, 'time': 3.79, 'pitch': -3.75, 'roll': -7.79}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.28, 'datetime': '2018-10-12 14:05:46.245250', 'mgs': 0, 'depth': 2.377, 'time': 3.89, 'pitch': -3.66, 'roll': -8.5}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.7, 'datetime': '2018-10-12 14:05:46.342256', 'mgs': 0, 'depth': 2.377, 'time': 3.99, 'pitch': -3.37, 'roll': -8.88}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-12 14:05:46.439500', 'mgs': 0, 'depth': 2.377, 'time': 4.08, 'pitch': -2.94, 'roll': -8.95}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.18, 'datetime': '2018-10-12 14:05:46.541159', 'mgs': 0, 'depth': 2.377, 'time': 4.18, 'pitch': -2.3, 'roll': -8.81}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.61, 'datetime': '2018-10-12 14:05:46.638577', 'mgs': 0, 'depth': 2.377, 'time': 4.28, 'pitch': -1.6, 'roll': -8.52}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.09, 'datetime': '2018-10-12 14:05:46.732450', 'mgs': 0, 'depth': 2.301, 'time': 4.38, 'pitch': -0.92, 'roll': -8.07}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.54, 'datetime': '2018-10-12 14:05:46.833473', 'mgs': 0, 'depth': 2.377, 'time': 4.47, 'pitch': -0.36, 'roll': -7.53}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.01, 'datetime': '2018-10-12 14:05:46.931588', 'mgs': 0, 'depth': 2.377, 'time': 4.57, 'pitch': 0.19, 'roll': -6.91}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.4, 'datetime': '2018-10-12 14:05:47.028565', 'mgs': 0, 'depth': 2.377, 'time': 4.67, 'pitch': 0.61, 'roll': -6.39}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.75, 'datetime': '2018-10-12 14:05:47.126174', 'mgs': 1, 'depth': 2.377, 'time': 4.77, 'pitch': 0.86, 'roll': -6.12}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:05:48.645690', 'mgs': 0, 'depth': 2.606, 'time': 1.26, 'pitch': -2.03, 'roll': -7.12}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.38, 'datetime': '2018-10-12 14:05:48.663892', 'mgs': 0, 'depth': 2.682, 'time': 1.36, 'pitch': -2.04, 'roll': -6.63}
