{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 15:40:39.061666', 'mgs': 0, 'depth': -0.293, 'time': 1.36, 'pitch': -3.42, 'roll': -2.76}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.078406', 'mgs': 0, 'depth': -0.293, 'time': 1.46, 'pitch': -3.41, 'roll': -2.83}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 15:40:39.095070', 'mgs': 0, 'depth': -0.369, 'time': 1.55, 'pitch': -3.43, 'roll': -2.73}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.111748', 'mgs': 0, 'depth': -0.293, 'time': 1.65, 'pitch': -3.4, 'roll': -2.81}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.128496', 'mgs': 0, 'depth': -0.293, 'time': 1.75, 'pitch': -3.42, 'roll': -2.74}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.145181', 'mgs': 0, 'depth': -0.293, 'time': 1.85, 'pitch': -3.41, 'roll': -2.75}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.161910', 'mgs': 0, 'depth': -0.293, 'time': 1.95, 'pitch': -3.41, 'roll': -2.77}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.169279', 'mgs': 0, 'depth': -0.369, 'time': 2.04, 'pitch': -3.41, 'roll': -2.72}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.176509', 'mgs': 0, 'depth': -0.293, 'time': 2.14, 'pitch': -3.4, 'roll': -2.78}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.183751', 'mgs': 0, 'depth': -0.369, 'time': 2.24, 'pitch': -3.41, 'roll': -2.72}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.190966', 'mgs': 0, 'depth': -0.369, 'time': 2.34, 'pitch': -3.41, 'roll': -2.78}
