{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:23:41.362482', 'mgs': 0, 'depth': -0.522, 'time': 1.26, 'pitch': -4.8, 'roll': -9.03}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-12 18:23:41.379191', 'mgs': 0, 'depth': -0.522, 'time': 1.36, 'pitch': -4.87, 'roll': -9.3}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.55, 'datetime': '2018-10-12 18:23:41.395910', 'mgs': 0, 'depth': -0.598, 'time': 1.46, 'pitch': -4.34, 'roll': -8.69}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.11, 'datetime': '2018-10-12 18:23:41.412626', 'mgs': 0, 'depth': -0.522, 'time': 1.55, 'pitch': -3.5, 'roll': -7.58}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.84, 'datetime': '2018-10-12 18:23:41.429370', 'mgs': 0, 'depth': -0.598, 'time': 1.65, 'pitch': -2.7, 'roll': -6.56}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.89, 'datetime': '2018-10-12 18:23:41.446103', 'mgs': 0, 'depth': -0.598, 'time': 1.75, 'pitch': -2.32, 'roll': -5.26}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.24, 'datetime': '2018-10-12 18:23:41.454703', 'mgs': 0, 'depth': -0.598, 'time': 1.85, 'pitch': -2.46, 'roll': -4.12}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.62, 'datetime': '2018-10-12 18:23:41.461993', 'mgs': 0, 'depth': -0.598, 'time': 1.94, 'pitch': -2.51, 'roll': -3.52}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 7.15, 'datetime': '2018-10-12 18:23:41.533107', 'mgs': 0, 'depth': -0.522, 'time': 2.04, 'pitch': -2.31, 'roll': -3.21}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 8.65, 'datetime': '2018-10-12 18:23:41.630217', 'mgs': 0, 'depth': -0.522, 'time': 2.14, 'pitch': -1.95, 'roll': -3.26}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 10.06, 'datetime': '2018-10-12 18:23:41.727274', 'mgs': 0, 'depth': -0.598, 'time': 2.23, 'pitch': -1.65, 'roll': -3.56}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 11.16, 'datetime': '2018-10-12 18:23:41.824420', 'mgs': 0, 'depth': -0.598, 'time': 2.33, 'pitch': -1.6, 'roll': -3.91}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.12, 'datetime': '2018-10-12 18:23:41.921510', 'mgs': 0, 'depth': -0.598, 'time': 2.43, 'pitch': -1.54, 'roll': -4.17}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.73, 'datetime': '2018-10-12 18:23:42.018632', 'mgs': 0, 'depth': -0.598, 'time': 2.53, 'pitch': -0.97, 'roll': -4.27}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.06, 'datetime': '2018-10-12 18:23:42.115787', 'mgs': 0, 'depth': -0.522, 'time': 2.62, 'pitch': -0.07, 'roll': -4.13}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.3, 'datetime': '2018-10-12 18:23:42.216292', 'mgs': 0, 'depth': -0.598, 'time': 2.72, 'pitch': 0.73, 'roll': -3.8}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.42, 'datetime': '2018-10-12 18:23:42.314941', 'mgs': 0, 'depth': -0.522, 'time': 2.82, 'pitch': 1.07, 'roll': -3.51}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.43, 'datetime': '2018-10-12 18:23:42.412808', 'mgs': 0, 'depth': -0.598, 'time': 2.92, 'pitch': 0.73, 'roll': -3.56}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.38, 'datetime': '2018-10-12 18:23:42.511189', 'mgs': 0, 'depth': -0.522, 'time': 3.02, 'pitch': -0.29, 'roll': -4.05}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.31, 'datetime': '2018-10-12 18:23:42.608399', 'mgs': 0, 'depth': -0.522, 'time': 3.11, 'pitch': -1.61, 'roll': -4.64}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.12, 'datetime': '2018-10-12 18:23:42.705645', 'mgs': 0, 'depth': -0.598, 'time': 3.21, 'pitch': -2.02, 'roll': -4.85}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.75, 'datetime': '2018-10-12 18:23:42.803166', 'mgs': 0, 'depth': -0.522, 'time': 3.31, 'pitch': -1.37, 'roll': -4.55}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.33, 'datetime': '2018-10-12 18:23:42.901642', 'mgs': 0, 'depth': -0.522, 'time': 3.4, 'pitch': -0.55, 'roll': -3.89}
{'lipoC2': 7.55, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 11.96, 'datetime': '2018-10-12 18:23:42.998848', 'mgs': 0, 'depth': -0.446, 'time': 3.5, 'pitch': -0.29, 'roll': -3.31}
{'lipoC2': 7.55, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 11.64, 'datetime': '2018-10-12 18:23:43.095832', 'mgs': 0, 'depth': -0.522, 'time': 3.6, 'pitch': -0.6, 'roll': -3.23}
{'lipoC2': 7.55, 'temp': 27.44, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 11.39, 'datetime': '2018-10-12 18:23:43.193662', 'mgs': 0, 'depth': -0.446, 'time': 3.7, 'pitch': -1.17, 'roll': -3.61}
{'lipoC2': 7.55, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 10.9, 'datetime': '2018-10-12 18:23:43.290727', 'mgs': 0, 'depth': -0.446, 'time': 3.8, 'pitch': -1.16, 'roll': -4.16}
{'lipoC2': 7.55, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 10.15, 'datetime': '2018-10-12 18:23:43.387830', 'mgs': 0, 'depth': -0.522, 'time': 3.89, 'pitch': -0.59, 'roll': -4.72}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.48, 'datetime': '2018-10-12 18:23:43.485016', 'mgs': 0, 'depth': -0.522, 'time': 3.99, 'pitch': -0.3, 'roll': -4.94}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.1, 'datetime': '2018-10-12 18:23:43.582129', 'mgs': 0, 'depth': -0.369, 'time': 4.09, 'pitch': -0.33, 'roll': -4.63}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 8.88, 'datetime': '2018-10-12 18:23:43.679515', 'mgs': 0, 'depth': -0.446, 'time': 4.18, 'pitch': -0.4, 'roll': -3.81}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 8.84, 'datetime': '2018-10-12 18:23:43.776537', 'mgs': 0, 'depth': -0.446, 'time': 4.28, 'pitch': -0.34, 'roll': -2.92}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.02, 'datetime': '2018-10-12 18:23:43.873479', 'mgs': 0, 'depth': -0.446, 'time': 4.38, 'pitch': -0.2, 'roll': -2.63}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.34, 'datetime': '2018-10-12 18:23:43.970599', 'mgs': 0, 'depth': -0.522, 'time': 4.47, 'pitch': 0.14, 'roll': -3.36}
{'lipoC2': 7.55, 'temp': 27.44, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.54, 'datetime': '2018-10-12 18:23:44.074143', 'mgs': 0, 'depth': -0.446, 'time': 4.57, 'pitch': 0.73, 'roll': -4.86}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.67, 'datetime': '2018-10-12 18:23:44.161079', 'mgs': 0, 'depth': -0.522, 'time': 4.67, 'pitch': 1.39, 'roll': -6.42}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.79, 'datetime': '2018-10-12 18:23:44.259584', 'mgs': 0, 'depth': -0.446, 'time': 4.77, 'pitch': 2.16, 'roll': -7.53}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 10.07, 'datetime': '2018-10-12 18:23:44.356737', 'mgs': 0, 'depth': -0.598, 'time': 4.87, 'pitch': 2.63, 'roll': -7.61}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 10.49, 'datetime': '2018-10-12 18:23:44.453900', 'mgs': 0, 'depth': -0.598, 'time': 4.96, 'pitch': 2.65, 'roll': -6.68}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 10.94, 'datetime': '2018-10-12 18:23:44.551731', 'mgs': 0, 'depth': -0.522, 'time': 5.06, 'pitch': 2.46, 'roll': -5.59}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 11.53, 'datetime': '2018-10-12 18:23:44.650111', 'mgs': 0, 'depth': -0.522, 'time': 5.16, 'pitch': 2.23, 'roll': -4.7}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.18, 'datetime': '2018-10-12 18:23:44.747188', 'mgs': 0, 'depth': -0.522, 'time': 5.26, 'pitch': 2.07, 'roll': -4.35}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.87, 'datetime': '2018-10-12 18:23:44.844279', 'mgs': 0, 'depth': -0.522, 'time': 5.36, 'pitch': 1.79, 'roll': -4.39}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.53, 'datetime': '2018-10-12 18:23:44.947914', 'mgs': 0, 'depth': -0.522, 'time': 5.45, 'pitch': 1.33, 'roll': -4.66}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 14.32, 'datetime': '2018-10-12 18:23:45.042201', 'mgs': 0, 'depth': -0.522, 'time': 5.55, 'pitch': 0.6, 'roll': -5.12}
{'lipoC2': 7.55, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 15.11, 'datetime': '2018-10-12 18:23:45.139718', 'mgs': 0, 'depth': -0.598, 'time': 5.65, 'pitch': -0.2, 'roll': -5.66}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 15.84, 'datetime': '2018-10-12 18:23:45.236399', 'mgs': 0, 'depth': -0.522, 'time': 5.74, 'pitch': -0.74, 'roll': -6.22}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 16.58, 'datetime': '2018-10-12 18:23:45.333457', 'mgs': 0, 'depth': -0.598, 'time': 5.84, 'pitch': -0.96, 'roll': -6.63}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 17.55, 'datetime': '2018-10-12 18:23:45.430683', 'mgs': 0, 'depth': -0.522, 'time': 5.94, 'pitch': -0.72, 'roll': -6.57}
{'lipoC2': 7.56, 'temp': 27.38, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 18.63, 'datetime': '2018-10-12 18:23:45.527788', 'mgs': 0, 'depth': -0.522, 'time': 6.04, 'pitch': -0.28, 'roll': -5.68}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 19.65, 'datetime': '2018-10-12 18:23:45.624872', 'mgs': 0, 'depth': -0.598, 'time': 6.13, 'pitch': -0.07, 'roll': -4.03}
{'lipoC2': 7.56, 'temp': 27.44, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 20.77, 'datetime': '2018-10-12 18:23:45.722057', 'mgs': 0, 'depth': -0.522, 'time': 6.23, 'pitch': -0.5, 'roll': -2.09}
