{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.96, 'datetime': '2018-10-12 18:43:22.724316', 'mgs': 0, 'depth': -0.064, 'time': 127.78, 'pitch': 0.85, 'roll': -3.68}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.96, 'datetime': '2018-10-12 18:43:22.741377', 'mgs': 0, 'depth': 0.012, 'time': 127.88, 'pitch': 0.85, 'roll': -3.68}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.96, 'datetime': '2018-10-12 18:43:22.758455', 'mgs': 0, 'depth': 0.012, 'time': 127.98, 'pitch': 0.85, 'roll': -3.68}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.96, 'datetime': '2018-10-12 18:43:22.775719', 'mgs': 0, 'depth': 0.012, 'time': 128.07, 'pitch': 0.85, 'roll': -3.68}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.96, 'datetime': '2018-10-12 18:43:22.792817', 'mgs': 0, 'depth': -0.064, 'time': 128.17, 'pitch': 0.85, 'roll': -3.68}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.810116', 'mgs': 0, 'depth': -0.064, 'time': 1.26, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.827204', 'mgs': 0, 'depth': -0.064, 'time': 1.36, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.844622', 'mgs': 0, 'depth': -0.14, 'time': 1.46, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.852129', 'mgs': 0, 'depth': -0.064, 'time': 1.55, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.859660', 'mgs': 0, 'depth': -0.064, 'time': 1.65, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.867047', 'mgs': 0, 'depth': -0.064, 'time': 1.75, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.874552', 'mgs': 0, 'depth': -0.14, 'time': 1.85, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.881983', 'mgs': 0, 'depth': -0.14, 'time': 1.94, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.889507', 'mgs': 0, 'depth': -0.14, 'time': 2.04, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.896879', 'mgs': 0, 'depth': -0.064, 'time': 2.14, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.904401', 'mgs': 0, 'depth': -0.064, 'time': 2.24, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.911855', 'mgs': 0, 'depth': -0.064, 'time': 2.34, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.919304', 'mgs': 0, 'depth': -0.14, 'time': 2.43, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.926902', 'mgs': 0, 'depth': -0.064, 'time': 2.53, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.934506', 'mgs': 0, 'depth': -0.14, 'time': 2.63, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:22.944950', 'mgs': 0, 'depth': -0.064, 'time': 2.72, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.043310', 'mgs': 0, 'depth': -0.064, 'time': 2.82, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.141393', 'mgs': 0, 'depth': -0.14, 'time': 2.92, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.238462', 'mgs': 0, 'depth': -0.064, 'time': 3.02, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.336036', 'mgs': 0, 'depth': -0.064, 'time': 3.12, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.434463', 'mgs': 0, 'depth': -0.064, 'time': 3.21, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.532744', 'mgs': 0, 'depth': -0.064, 'time': 3.31, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:23.630471', 'mgs': 0, 'depth': -0.217, 'time': 3.41, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:23.727486', 'mgs': 0, 'depth': -0.064, 'time': 3.51, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:23.825900', 'mgs': 0, 'depth': -0.064, 'time': 3.61, 'pitch': 0.85, 'roll': -3.72}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:23.924248', 'mgs': 0, 'depth': -0.064, 'time': 3.7, 'pitch': 0.85, 'roll': -3.7}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.021323', 'mgs': 0, 'depth': -0.14, 'time': 3.8, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.118440', 'mgs': 0, 'depth': -0.14, 'time': 3.9, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.216788', 'mgs': 0, 'depth': -0.14, 'time': 4.0, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.315176', 'mgs': 0, 'depth': -0.14, 'time': 4.1, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.412939', 'mgs': 0, 'depth': -0.14, 'time': 4.19, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.510129', 'mgs': 0, 'depth': -0.14, 'time': 4.29, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.607902', 'mgs': 0, 'depth': -0.14, 'time': 4.39, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:24.705032', 'mgs': 0, 'depth': -0.064, 'time': 4.49, 'pitch': 0.85, 'roll': -3.74}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 18:43:24.802096', 'mgs': 0, 'depth': -0.064, 'time': 4.58, 'pitch': 0.85, 'roll': -3.74}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 18:43:24.903956', 'mgs': 0, 'depth': -0.14, 'time': 4.68, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.002613', 'mgs': 0, 'depth': -0.14, 'time': 4.78, 'pitch': 0.87, 'roll': -3.77}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.100825', 'mgs': 0, 'depth': -0.14, 'time': 4.88, 'pitch': 0.86, 'roll': -3.67}
