{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.789837', 'mgs': 0, 'depth': -0.446, 'time': 1.26, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.806843', 'mgs': 0, 'depth': -0.446, 'time': 1.36, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.823641', 'mgs': 0, 'depth': -0.522, 'time': 1.46, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.840497', 'mgs': 0, 'depth': -0.522, 'time': 1.55, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.857342', 'mgs': 0, 'depth': -0.522, 'time': 1.65, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.874265', 'mgs': 0, 'depth': -0.446, 'time': 1.75, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:34.906098', 'mgs': 0, 'depth': -0.522, 'time': 1.85, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.003925', 'mgs': 0, 'depth': -0.446, 'time': 1.94, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.102246', 'mgs': 0, 'depth': -0.446, 'time': 2.04, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.199287', 'mgs': 0, 'depth': -0.446, 'time': 2.14, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.296317', 'mgs': 0, 'depth': -0.522, 'time': 2.24, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.394262', 'mgs': 0, 'depth': -0.446, 'time': 2.34, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.491293', 'mgs': 0, 'depth': -0.446, 'time': 2.43, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.588343', 'mgs': 0, 'depth': -0.522, 'time': 2.53, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.687038', 'mgs': 0, 'depth': -0.522, 'time': 2.63, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.788310', 'mgs': 0, 'depth': -0.522, 'time': 2.72, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:35.888461', 'mgs': 0, 'depth': -0.598, 'time': 2.82, 'pitch': 7.01, 'roll': -0.29}
