{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:23.437581', 'mgs': 0, 'depth': -0.827, 'time': 1.26, 'pitch': 3.56, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.454319', 'mgs': 0, 'depth': -0.903, 'time': 1.36, 'pitch': 3.25, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.471012', 'mgs': 0, 'depth': -0.827, 'time': 1.46, 'pitch': 3.02, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.487597', 'mgs': 0, 'depth': -0.827, 'time': 1.55, 'pitch': 2.82, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:23.494897', 'mgs': 0, 'depth': -0.827, 'time': 1.65, 'pitch': 2.68, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:23.502132', 'mgs': 0, 'depth': -0.827, 'time': 1.75, 'pitch': 2.54, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.585929', 'mgs': 0, 'depth': -0.827, 'time': 1.85, 'pitch': 2.42, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.683046', 'mgs': 0, 'depth': -0.751, 'time': 1.95, 'pitch': 2.33, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.781128', 'mgs': 0, 'depth': -0.827, 'time': 2.04, 'pitch': 2.25, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.879510', 'mgs': 0, 'depth': -0.827, 'time': 2.14, 'pitch': 2.17, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:23.976626', 'mgs': 0, 'depth': -0.827, 'time': 2.24, 'pitch': 2.1, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:24.073765', 'mgs': 0, 'depth': -0.827, 'time': 2.34, 'pitch': 2.04, 'roll': 1.07}
