{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-17 10:06:53.562923', 'mgs': 0, 'depth': 0.394, 'time': 1.26, 'pitch': 0.55, 'roll': -5.6}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.11, 'datetime': '2018-10-17 10:06:57.086894', 'mgs': 0, 'depth': 0.47, 'time': 1.36, 'pitch': 0.64, 'roll': -5.47}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-17 10:06:57.105465', 'mgs': 0, 'depth': 0.394, 'time': 1.46, 'pitch': 0.75, 'roll': -5.33}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-17 10:06:57.124437', 'mgs': 0, 'depth': 0.47, 'time': 1.55, 'pitch': 0.74, 'roll': -5.17}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-17 10:06:57.146190', 'mgs': 0, 'depth': 0.546, 'time': 1.65, 'pitch': 0.71, 'roll': -5.04}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-17 10:06:57.172980', 'mgs': 0, 'depth': 0.47, 'time': 1.75, 'pitch': 0.71, 'roll': -4.91}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-17 10:06:57.198287', 'mgs': 0, 'depth': 0.394, 'time': 1.85, 'pitch': 0.71, 'roll': -4.83}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-17 10:06:57.206542', 'mgs': 0, 'depth': 0.47, 'time': 1.94, 'pitch': 0.76, 'roll': -4.78}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-17 10:06:57.216131', 'mgs': 0, 'depth': 0.47, 'time': 2.04, 'pitch': 0.79, 'roll': -4.77}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-17 10:06:57.230020', 'mgs': 0, 'depth': 0.47, 'time': 2.14, 'pitch': 0.85, 'roll': -4.88}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.46, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.05, 'datetime': '2018-10-17 10:06:57.244334', 'mgs': 0, 'depth': 0.47, 'time': 2.24, 'pitch': 1.07, 'roll': -4.86}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.08, 'datetime': '2018-10-17 10:06:57.253312', 'mgs': 0, 'depth': 0.47, 'time': 2.34, 'pitch': 1.25, 'roll': -4.82}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.24, 'datetime': '2018-10-17 10:06:57.263118', 'mgs': 0, 'depth': 0.47, 'time': 2.43, 'pitch': 1.27, 'roll': -4.77}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.36, 'datetime': '2018-10-17 10:06:57.276984', 'mgs': 0, 'depth': 0.47, 'time': 2.53, 'pitch': 1.16, 'roll': -4.72}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.26, 'datetime': '2018-10-17 10:06:57.290953', 'mgs': 0, 'depth': 0.394, 'time': 2.63, 'pitch': 1.14, 'roll': -4.58}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.02, 'datetime': '2018-10-17 10:06:57.299042', 'mgs': 0, 'depth': 0.394, 'time': 2.72, 'pitch': 1.21, 'roll': -4.51}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.38, 'datetime': '2018-10-17 10:06:57.308728', 'mgs': 0, 'depth': 0.394, 'time': 2.82, 'pitch': 1.3, 'roll': -4.54}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-17 10:06:57.322557', 'mgs': 0, 'depth': 0.47, 'time': 2.92, 'pitch': 1.31, 'roll': -4.74}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.04, 'datetime': '2018-10-17 10:06:57.336914', 'mgs': 0, 'depth': 0.47, 'time': 3.02, 'pitch': 1.19, 'roll': -4.96}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.31, 'datetime': '2018-10-17 10:06:57.345851', 'mgs': 0, 'depth': 0.47, 'time': 3.12, 'pitch': 1.03, 'roll': -5.13}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.54, 'datetime': '2018-10-17 10:06:57.355652', 'mgs': 0, 'depth': 0.394, 'time': 3.21, 'pitch': 0.94, 'roll': -5.17}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.73, 'datetime': '2018-10-17 10:06:57.369522', 'mgs': 0, 'depth': 0.47, 'time': 3.31, 'pitch': 0.94, 'roll': -5.12}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.76, 'datetime': '2018-10-17 10:06:57.383371', 'mgs': 0, 'depth': 0.394, 'time': 3.41, 'pitch': 0.95, 'roll': -4.99}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.46, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.69, 'datetime': '2018-10-17 10:06:57.391725', 'mgs': 0, 'depth': 0.47, 'time': 3.51, 'pitch': 0.94, 'roll': -4.85}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-17 10:06:57.401445', 'mgs': 0, 'depth': 0.47, 'time': 1.26, 'pitch': 0.93, 'roll': -4.61}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-17 10:06:57.415265', 'mgs': 0, 'depth': 0.47, 'time': 1.36, 'pitch': 1.07, 'roll': -4.72}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-17 10:06:57.429213', 'mgs': 0, 'depth': 0.47, 'time': 1.46, 'pitch': 1.18, 'roll': -4.75}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-17 10:06:57.438122', 'mgs': 0, 'depth': 0.546, 'time': 1.55, 'pitch': 1.19, 'roll': -4.75}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-17 10:06:57.448248', 'mgs': 0, 'depth': 0.546, 'time': 1.65, 'pitch': 1.14, 'roll': -4.8}
