{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-10-26 09:54:20.314459', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 130, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-10-26 09:54:23.841275', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 265, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.0, 'datetime': '2018-10-26 09:54:23.876715', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.47, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 395, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:23.912242', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 474, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-10-26 09:54:23.947614', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'pitch': -23.88, 'roll': 46.01}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:23.978821', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.77, 'pitch': -23.89, 'roll': 46.03}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:23.999730', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.020573', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.98, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.041388', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.08, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.062180', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.19, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.083033', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.29, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.106530', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.39, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.130555', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.5, 'pitch': -23.88, 'roll': 46.02}
