{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:58.175027', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.14, 'time': 1.26, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:58.394760', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 1.47, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:58.697023', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 1.78, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:58.904617', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 1.99, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:59.113614', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 2.2, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:59.322607', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.293, 'time': 2.41, 'yaw': 0.0}
{'lipoC3S3': 12.41, 'datetime': '2018-11-28 11:43:59.532506', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.293, 'time': 2.62, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:59.741171', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 2.83, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:43:59.949120', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.293, 'time': 3.04, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:00.160576', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 3.24, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:00.364523', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 3.45, 'yaw': 0.0}
