{'lipoC2': 7.59, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:14.682107', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:14.887074', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.46, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:15.092079', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:15.297044', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.87, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:15.503264', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.08, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:15.707148', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.29, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:15.914216', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.49, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:16.119050', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.7, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:16.324808', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.9, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:16.530010', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.11, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:16.735804', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.32, 'pitch': -0.94, 'roll': -2.18}
