{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:47.829615', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1919, 'duty0': 1513, 'duty3': 1513, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 4.12, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:48.160473', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1920, 'duty0': 1507, 'duty3': 1506, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.14, 'time': 4.45, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:48.493593', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1920, 'duty0': 1512, 'duty3': 1513, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 4.79, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:48.825014', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1919, 'duty0': 1513, 'duty3': 1507, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 5.12, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:49.155626', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1919, 'duty0': 1506, 'duty3': 1512, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.217, 'time': 5.45, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:49.491410', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1926, 'duty0': 1513, 'duty3': 1513, 'duty2': 1510, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 5.78, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:49.815502', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1920, 'duty0': 1506, 'duty3': 1506, 'duty2': 1517, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 6.11, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:50.146385', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1920, 'duty0': 1513, 'duty3': 1512, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.217, 'time': 6.44, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:50.476093', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1919, 'duty0': 1506, 'duty3': 1506, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 6.77, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:50.806736', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1919, 'duty0': 1513, 'duty3': 1513, 'duty2': 1510, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 7.1, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:51.140662', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1919, 'duty0': 1506, 'duty3': 1509, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.14, 'time': 7.44, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:51.470934', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1463, 'duty0': 1513, 'duty3': 1515, 'duty2': 1517, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 7.77, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:51.802590', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1449, 'duty0': 1506, 'duty3': 1509, 'duty2': 1510, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.75, 'depth': -0.14, 'time': 8.1, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:52.132751', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1390, 'duty0': 1513, 'duty3': 1512, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 8.43, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:52.464272', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1370, 'duty0': 1512, 'duty3': 1510, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 8.76, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:52.794747', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1298, 'duty0': 1506, 'duty3': 1513, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 9.09, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:53.124962', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1495, 'duty0': 1512, 'duty3': 1513, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.75, 'depth': -0.14, 'time': 9.42, 'yaw': 0.0}
{'lipoC3S3': 12.04, 'datetime': '2018-11-13 15:43:53.453307', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1506, 'duty0': 1506, 'duty3': 1507, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 9.75, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:53.785354', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1499, 'duty0': 1513, 'duty3': 1513, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 10.09, 'yaw': 0.0}
