{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:25.701785', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 37.83, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:25.909882', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 38.04, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.38, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:26.119231', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 38.25, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.38, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:26.330885', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 38.46, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.38, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:26.539420', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 38.67, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:26.747906', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 38.88, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:26.956535', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 39.08, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.44, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:27.165181', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 39.29, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.44, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:27.374562', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 39.5, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.38, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:27.584147', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 39.71, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.38, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:27.792428', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 39.92, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
