{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:03.336934', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:03.544090', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.47, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:03.753308', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.68, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:03.961563', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:04.171234', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.1, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:04.379406', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.3, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:04.589188', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.51, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:04.796353', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.72, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:05.005141', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.93, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:05.214526', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.14, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:05.423031', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.35, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:05.632831', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.56, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:05.841246', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.77, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:06.049403', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.97, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.19, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2018-11-21 10:48:06.257020', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.18, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
