{'lipoC2': 0.24, 'temp': 0.0, 'lipoC3S3': 0.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:15.421170', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.23, 'flw0': 0.02, 'time': 1.26, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 0.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:15.629498', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 1.46, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.19, 'temp': 0.0, 'lipoC3S3': 0.03, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:15.837714', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.12, 'flw0': 0.0, 'time': 1.67, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.25, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:16.044272', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.09, 'flw0': 0.0, 'time': 1.88, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:16.254853', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.03, 'flw0': 0.0, 'time': 2.09, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 0.21, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:16.462846', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.11, 'time': 2.3, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:16.670620', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.5, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:16.878461', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 2.71, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:17.088397', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.24, 'time': 2.92, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.505, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:17.294852', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 3.13, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 0.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:17.503367', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 3.34, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:17.711515', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 3.54, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.24, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:17.920078', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 3.75, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.131109', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.0, 'time': 3.96, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.336179', 'mgs': 0, 'flw2': 2.97, 'flw1': 0.59, 'flw0': 0.0, 'time': 4.17, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.544309', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 4.37, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.751714', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.58, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 0.17, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.959669', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.01, 'time': 4.79, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 0.08, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.168874', 'mgs': 0, 'flw2': 6.49, 'flw1': 0.09, 'flw0': 0.0, 'time': 5.0, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.2, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.376434', 'mgs': 0, 'flw2': 1.38, 'flw1': 0.12, 'flw0': 0.0, 'time': 5.2, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.13, 'state': 'normal', 'rot1': 0, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.584651', 'mgs': 0, 'flw2': 1.11, 'flw1': 0.32, 'flw0': 0.0, 'time': 5.41, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.795099', 'mgs': 0, 'flw2': 0.98, 'flw1': 0.5, 'flw0': 0.0, 'time': 5.62, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
