{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': 0.03, 'datetime': '2018-11-26 11:10:15.608013', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'compass': 161.45, 'pitch': 1.34, 'roll': -4.78}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': 0.08, 'datetime': '2018-11-26 11:10:15.813171', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': 161.5, 'pitch': 0.7, 'roll': -4.59}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': 0.03, 'datetime': '2018-11-26 11:10:16.024354', 'mgs': 0, 'flw2': 2.78, 'flw1': 0.0, 'flw0': 3.03, 'time': 1.78, 'compass': 161.45, 'pitch': 0.21, 'roll': -4.21}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 3, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': -0.27, 'datetime': '2018-11-26 11:10:16.230657', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.0, 'flw0': 2.98, 'time': 1.99, 'compass': 161.14, 'pitch': -0.1, 'roll': -2.08}
{'lipoC2': 7.65, 'temp': 24.38, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 6, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': -0.88, 'datetime': '2018-11-26 11:10:16.444642', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.0, 'flw0': 2.92, 'time': 2.2, 'compass': 160.53, 'pitch': -0.24, 'roll': 0.82}
{'lipoC2': 7.65, 'temp': 24.38, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 8, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -1.75, 'datetime': '2018-11-26 11:10:16.653577', 'mgs': 0, 'flw2': 2.73, 'flw1': 0.0, 'flw0': 2.92, 'time': 2.41, 'compass': 159.67, 'pitch': -0.45, 'roll': 3.95}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 11, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 2.835, 'yaw': -2.68, 'datetime': '2018-11-26 11:10:16.862043', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 1.27, 'time': 2.62, 'compass': 158.74, 'pitch': -0.62, 'roll': 6.47}
{'lipoC2': 7.66, 'temp': 24.63, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 13, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -2.83, 'datetime': '2018-11-26 11:10:17.070297', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.0, 'flw0': 1.28, 'time': 2.83, 'compass': 158.59, 'pitch': -0.71, 'roll': 7.57}
{'lipoC2': 7.65, 'temp': 24.69, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 16, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 2.988, 'yaw': -1.95, 'datetime': '2018-11-26 11:10:17.281689', 'mgs': 0, 'flw2': 3.02, 'flw1': 0.0, 'flw0': 1.33, 'time': 3.04, 'compass': 159.46, 'pitch': -0.82, 'roll': 7.53}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 18, 'rot0': 16, 'rot3': 1, 'rot2': 0, 'depth': 2.454, 'yaw': -0.38, 'datetime': '2018-11-26 11:10:17.490899', 'mgs': 0, 'flw2': 2.82, 'flw1': 3.93, 'flw0': 1.43, 'time': 3.25, 'compass': 161.04, 'pitch': -1.01, 'roll': 6.75}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 20, 'rot0': 17, 'rot3': 2, 'rot2': 1, 'depth': 1.767, 'yaw': 1.58, 'datetime': '2018-11-26 11:10:17.695563', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.0, 'flw0': 1.35, 'time': 3.46, 'compass': 163.0, 'pitch': -1.08, 'roll': 5.72}
