{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 31, 'rot0': 8, 'rot3': 1, 'rot2': 1, 'depth': 0.928, 'yaw': -0.01, 'datetime': '2018-11-26 11:30:52.087368', 'mgs': 0, 'flw2': 2.89, 'flw1': 3.31, 'flw0': 2.6, 'time': 1.47, 'compass': -15.33, 'pitch': 1.9, 'roll': -6.39}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 79, 'rot0': 14, 'rot3': 2, 'rot2': 2, 'depth': -0.064, 'yaw': -0.02, 'datetime': '2018-11-26 11:30:52.299384', 'mgs': 0, 'flw2': 2.29, 'flw1': 2.34, 'flw0': 2.23, 'time': 1.68, 'compass': -15.33, 'pitch': 1.9, 'roll': -6.41}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 129, 'rot0': 21, 'rot3': 3, 'rot2': 4, 'depth': -0.14, 'yaw': -0.04, 'datetime': '2018-11-26 11:30:52.509033', 'mgs': 0, 'flw2': 2.16, 'flw1': 2.2, 'flw0': 2.2, 'time': 1.89, 'compass': -15.35, 'pitch': 1.92, 'roll': -6.38}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 178, 'rot0': 27, 'rot3': 4, 'rot2': 5, 'depth': -0.14, 'yaw': -0.04, 'datetime': '2018-11-26 11:30:52.719724', 'mgs': 0, 'flw2': 2.15, 'flw1': 2.14, 'flw0': 2.25, 'time': 2.1, 'compass': -15.36, 'pitch': 1.93, 'roll': -6.38}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 227, 'rot0': 34, 'rot3': 5, 'rot2': 6, 'depth': 0.546, 'yaw': -0.05, 'datetime': '2018-11-26 11:30:52.928466', 'mgs': 0, 'flw2': 2.36, 'flw1': 2.08, 'flw0': 2.22, 'time': 2.31, 'compass': -15.36, 'pitch': 1.95, 'roll': -6.37}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 277, 'rot0': 40, 'rot3': 6, 'rot2': 8, 'depth': -0.217, 'yaw': -0.06, 'datetime': '2018-11-26 11:30:53.139448', 'mgs': 0, 'flw2': 2.1, 'flw1': 2.67, 'flw0': 2.17, 'time': 2.52, 'compass': -15.37, 'pitch': 1.96, 'roll': -6.38}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 327, 'rot0': 46, 'rot3': 7, 'rot2': 9, 'depth': 1.309, 'yaw': -0.06, 'datetime': '2018-11-26 11:30:53.349081', 'mgs': 0, 'flw2': 2.32, 'flw1': 2.26, 'flw0': 2.09, 'time': 2.73, 'compass': -15.37, 'pitch': 1.95, 'roll': -6.37}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 375, 'rot0': 53, 'rot3': 8, 'rot2': 11, 'depth': -0.14, 'yaw': -0.07, 'datetime': '2018-11-26 11:30:53.555435', 'mgs': 0, 'flw2': 2.08, 'flw1': 2.29, 'flw0': 2.29, 'time': 2.95, 'compass': -15.38, 'pitch': 1.94, 'roll': -6.37}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 424, 'rot0': 59, 'rot3': 9, 'rot2': 12, 'depth': -0.217, 'yaw': -0.1, 'datetime': '2018-11-26 11:30:53.767495', 'mgs': 0, 'flw2': 2.17, 'flw1': 2.31, 'flw0': 2.21, 'time': 3.16, 'compass': -15.41, 'pitch': 1.96, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 474, 'rot0': 65, 'rot3': 10, 'rot2': 13, 'depth': -0.217, 'yaw': -0.11, 'datetime': '2018-11-26 11:30:53.977364', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.17, 'flw0': 2.33, 'time': 3.37, 'compass': -15.42, 'pitch': 1.98, 'roll': -6.36}
{'lipoC2': 7.61, 'temp': 25.19, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 522, 'rot0': 71, 'rot3': 11, 'rot2': 15, 'depth': 0.775, 'yaw': -0.14, 'datetime': '2018-11-26 11:30:54.188618', 'mgs': 0, 'flw2': 2.37, 'flw1': 2.58, 'flw0': 2.11, 'time': 3.58, 'compass': -15.45, 'pitch': 2.0, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 572, 'rot0': 77, 'rot3': 12, 'rot2': 16, 'depth': 0.928, 'yaw': -0.15, 'datetime': '2018-11-26 11:30:54.401156', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.23, 'flw0': 2.1, 'time': 3.79, 'compass': -15.46, 'pitch': 2.01, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 621, 'rot0': 84, 'rot3': 12, 'rot2': 18, 'depth': -0.217, 'yaw': -0.17, 'datetime': '2018-11-26 11:30:54.617493', 'mgs': 0, 'flw2': 2.16, 'flw1': 2.14, 'flw0': 2.27, 'time': 4.0, 'compass': -15.48, 'pitch': 2.01, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 669, 'rot0': 90, 'rot3': 13, 'rot2': 19, 'depth': -0.14, 'yaw': -0.19, 'datetime': '2018-11-26 11:30:54.825295', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.81, 'flw0': 2.22, 'time': 4.21, 'compass': -15.5, 'pitch': 2.01, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 719, 'rot0': 96, 'rot3': 14, 'rot2': 20, 'depth': -0.14, 'yaw': -0.2, 'datetime': '2018-11-26 11:30:55.036802', 'mgs': 0, 'flw2': 2.17, 'flw1': 2.46, 'flw0': 2.34, 'time': 4.43, 'compass': -15.51, 'pitch': 2.0, 'roll': -6.35}
