{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -0.17, 'datetime': '2018-11-26 12:40:44.919981', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'compass': -34.17, 'pitch': -0.87, 'roll': -5.91}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -0.75, 'datetime': '2018-11-26 12:40:45.133306', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': -34.76, 'pitch': -0.01, 'roll': -5.91}
{'lipoC2': 7.41, 'temp': 30.06, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -1.46, 'datetime': '2018-11-26 12:40:45.339048', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.78, 'compass': -35.46, 'pitch': 1.12, 'roll': -5.88}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.12, 'datetime': '2018-11-26 12:40:45.546252', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.99, 'compass': -36.13, 'pitch': 2.52, 'roll': -5.61}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.7, 'datetime': '2018-11-26 12:40:45.751704', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.2, 'compass': -36.7, 'pitch': 3.78, 'roll': -5.27}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -3.11, 'datetime': '2018-11-26 12:40:45.959281', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.41, 'compass': -37.11, 'pitch': 4.62, 'roll': -5.27}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -3.38, 'datetime': '2018-11-26 12:40:46.168750', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.62, 'compass': -37.38, 'pitch': 4.85, 'roll': -5.63}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -3.44, 'datetime': '2018-11-26 12:40:46.379408', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.82, 'compass': -37.45, 'pitch': 4.47, 'roll': -5.89}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.27, 'datetime': '2018-11-26 12:40:46.589153', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.03, 'compass': -37.27, 'pitch': 3.65, 'roll': -5.89}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.78, 'datetime': '2018-11-26 12:40:46.796350', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.24, 'compass': -36.78, 'pitch': 2.68, 'roll': -5.86}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -2.15, 'datetime': '2018-11-26 12:40:47.005380', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.45, 'compass': -36.15, 'pitch': 1.75, 'roll': -5.84}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -1.72, 'datetime': '2018-11-26 12:40:47.214743', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.66, 'compass': -35.73, 'pitch': 0.88, 'roll': -5.83}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -1.41, 'datetime': '2018-11-26 12:40:47.425674', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.87, 'compass': -35.41, 'pitch': 0.2, 'roll': -5.83}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -1.34, 'datetime': '2018-11-26 12:40:47.630435', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.08, 'compass': -35.34, 'pitch': -0.16, 'roll': -5.84}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -1.66, 'datetime': '2018-11-26 12:40:47.842601', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.28, 'compass': -35.67, 'pitch': -0.16, 'roll': -5.84}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.1, 'datetime': '2018-11-26 12:40:48.047930', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.49, 'compass': -36.1, 'pitch': 0.3, 'roll': -5.86}
{'lipoC2': 7.41, 'temp': 30.13, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.37, 'datetime': '2018-11-26 12:40:48.255153', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.7, 'compass': -36.37, 'pitch': 1.18, 'roll': -6.09}
