{'lipoC2': 7.07, 'temp': 29.63, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -0.22, 'datetime': '2018-11-26 13:20:01.686912', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'compass': 66.39, 'pitch': 0.41, 'roll': -2.2}
{'lipoC2': 7.06, 'temp': 29.19, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -0.64, 'datetime': '2018-11-26 13:20:01.895198', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': 65.97, 'pitch': 0.71, 'roll': -2.43}
{'lipoC2': 7.05, 'temp': 29.31, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -1.09, 'datetime': '2018-11-26 13:20:02.104317', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.01, 'time': 1.78, 'compass': 65.51, 'pitch': 0.75, 'roll': -2.81}
{'lipoC2': 7.06, 'temp': 29.13, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -1.51, 'datetime': '2018-11-26 13:20:02.312591', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.99, 'compass': 65.09, 'pitch': 0.43, 'roll': -3.38}
{'lipoC2': 7.12, 'temp': 28.81, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -1.9, 'datetime': '2018-11-26 13:20:02.518171', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.19, 'compass': 64.7, 'pitch': -0.13, 'roll': -4.05}
{'lipoC2': 7.06, 'temp': 28.81, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.26, 'datetime': '2018-11-26 13:20:02.728020', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.4, 'compass': 64.34, 'pitch': -0.72, 'roll': -4.56}
{'lipoC2': 7.05, 'temp': 29.63, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.58, 'datetime': '2018-11-26 13:20:02.937848', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.61, 'compass': 64.02, 'pitch': -1.17, 'roll': -4.83}
{'lipoC2': 7.06, 'temp': 29.13, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -2.87, 'datetime': '2018-11-26 13:20:03.146414', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.82, 'compass': 63.73, 'pitch': -1.4, 'roll': -5.04}
{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -3.17, 'datetime': '2018-11-26 13:20:03.356818', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.09, 'time': 3.03, 'compass': 63.43, 'pitch': -1.41, 'roll': -5.23}
{'lipoC2': 7.06, 'temp': 29.25, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.47, 'datetime': '2018-11-26 13:20:03.562129', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.24, 'compass': 63.13, 'pitch': -1.15, 'roll': -5.08}
{'lipoC2': 7.06, 'temp': 29.44, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.8, 'datetime': '2018-11-26 13:20:03.770343', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.45, 'compass': 62.8, 'pitch': -0.73, 'roll': -4.81}
