{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 17, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:53.113637', 'mgs': 0, 'flw2': 1.26, 'flw1': 0.0, 'flw0': 1.17, 'time': 1.26, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:53.324153', 'mgs': 0, 'flw2': 1.17, 'flw1': 0.0, 'flw0': 1.14, 'time': 1.47, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 25, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:53.535003', 'mgs': 0, 'flw2': 1.15, 'flw1': 0.0, 'flw0': 1.17, 'time': 1.68, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 29, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:53.744183', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.0, 'flw0': 1.18, 'time': 1.89, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 33, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:53.955201', 'mgs': 0, 'flw2': 1.21, 'flw1': 0.0, 'flw0': 1.26, 'time': 2.1, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 36, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:54.164974', 'mgs': 0, 'flw2': 1.12, 'flw1': 0.0, 'flw0': 1.25, 'time': 2.31, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 40, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-10 15:22:54.373870', 'mgs': 0, 'flw2': 1.17, 'flw1': 0.0, 'flw0': 1.22, 'time': 2.52, 'compass': -56.2, 'pitch': -3.16, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.01, 'state': 'normal', 'rot1': 44, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.0, 'datetime': '2018-12-10 15:22:54.584615', 'mgs': 0, 'flw2': 1.2, 'flw1': 0.0, 'flw0': 1.21, 'time': 2.73, 'compass': -56.2, 'pitch': -3.17, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 48, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.0, 'datetime': '2018-12-10 15:22:54.793830', 'mgs': 0, 'flw2': 1.17, 'flw1': 0.0, 'flw0': 1.25, 'time': 2.94, 'compass': -56.2, 'pitch': -3.18, 'roll': 0.86}
{'lipoC2': 7.61, 'temp': 33.56, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 51, 'rot0': 50, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.0, 'datetime': '2018-12-10 15:22:55.004636', 'mgs': 0, 'flw2': 1.16, 'flw1': 0.0, 'flw0': 1.18, 'time': 3.15, 'compass': -56.2, 'pitch': -3.18, 'roll': 0.87}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 55, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -0.0, 'datetime': '2018-12-10 15:22:55.220979', 'mgs': 0, 'flw2': 1.26, 'flw1': 0.0, 'flw0': 1.22, 'time': 3.36, 'compass': -56.2, 'pitch': -3.18, 'roll': 0.87}
