{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 19, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:01.188709', 'mgs': 0, 'flw2': 1.25, 'flw1': 0.0, 'flw0': 1.17, 'time': 1.36, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 23, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:01.397732', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 1.22, 'time': 1.57, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 27, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:01.608100', 'mgs': 0, 'flw2': 1.14, 'flw1': 0.0, 'flw0': 1.29, 'time': 1.78, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 31, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:01.816948', 'mgs': 0, 'flw2': 1.26, 'flw1': 0.0, 'flw0': 1.2, 'time': 1.99, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 34, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:02.027271', 'mgs': 0, 'flw2': 1.16, 'flw1': 0.0, 'flw0': 1.26, 'time': 2.2, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 38, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:02.237536', 'mgs': 0, 'flw2': 1.21, 'flw1': 0.0, 'flw0': 1.2, 'time': 2.41, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 42, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:02.446037', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 1.17, 'time': 2.62, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 45, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:02.656747', 'mgs': 0, 'flw2': 1.26, 'flw1': 0.0, 'flw0': 1.29, 'time': 2.83, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.63, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 49, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:02.866129', 'mgs': 0, 'flw2': 1.16, 'flw1': 0.0, 'flw0': 1.2, 'time': 3.04, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 52, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -0.0, 'datetime': '2018-12-11 14:27:03.075740', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.25, 'compass': 82.05, 'pitch': 0.57, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.56, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 52, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:03.284967', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.46, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
{'lipoC2': 0.0, 'temp': 28.63, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 56, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-11 14:27:03.493338', 'mgs': 0, 'flw2': 1.31, 'flw1': 0.0, 'flw0': 1.27, 'time': 3.67, 'compass': 82.05, 'pitch': 0.58, 'roll': 1.44}
