{'lipoC2': 8.37, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -0.23, 'datetime': '2018-12-12 10:34:59.862854', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': -141.64, 'pitch': -0.57, 'roll': 3.42}
{'lipoC2': 8.06, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -0.37, 'datetime': '2018-12-12 10:35:00.068297', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 1.78, 'compass': -141.77, 'pitch': -0.61, 'roll': 3.77}
{'lipoC2': 8.37, 'temp': 0.0, 'lipoC3S3': 12.59, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -0.54, 'datetime': '2018-12-12 10:35:00.280839', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.01, 'time': 1.99, 'compass': -141.95, 'pitch': -0.58, 'roll': 4.11}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -0.77, 'datetime': '2018-12-12 10:35:00.492091', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 2.19, 'compass': -142.18, 'pitch': -0.59, 'roll': 4.19}
{'lipoC2': 8.33, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -1.01, 'datetime': '2018-12-12 10:35:00.699339', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.09, 'time': 2.4, 'compass': -142.42, 'pitch': -0.77, 'roll': 4.11}
{'lipoC2': 8.19, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -1.23, 'datetime': '2018-12-12 10:35:00.908583', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.31, 'time': 2.61, 'compass': -142.64, 'pitch': -0.86, 'roll': 4.11}
{'lipoC2': 8.17, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -1.45, 'datetime': '2018-12-12 10:35:01.116554', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 2.82, 'compass': -142.86, 'pitch': -0.86, 'roll': 4.1}
{'lipoC2': 8.13, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': -1.71, 'datetime': '2018-12-12 10:35:01.324234', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.0, 'time': 3.02, 'compass': -143.12, 'pitch': -0.87, 'roll': 3.73}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -2.0, 'datetime': '2018-12-12 10:35:01.532079', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.23, 'compass': -143.41, 'pitch': -0.92, 'roll': 3.18}
{'lipoC2': 8.21, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': -2.27, 'datetime': '2018-12-12 10:35:01.740920', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.44, 'compass': -143.67, 'pitch': -0.82, 'roll': 2.92}
{'lipoC2': 8.24, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.225, 'yaw': -2.54, 'datetime': '2018-12-12 10:35:01.949731', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.7, 'flw0': 0.0, 'time': 3.65, 'compass': -143.95, 'pitch': -0.55, 'roll': 2.92}
