{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 18, 'rot0': 18, 'rot3': 5, 'rot2': 6, 'depth': 1.767, 'yaw': -1.11, 'datetime': '2018-12-12 10:38:49.927100', 'mgs': 0, 'flw2': 7.36, 'flw1': 3.25, 'flw0': 7.43, 'time': 1.26, 'compass': 15.78, 'pitch': 4.37, 'roll': 0.53}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 20, 'rot0': 20, 'rot3': 6, 'rot2': 7, 'depth': -0.293, 'yaw': -21.96, 'datetime': '2018-12-12 10:38:50.136273', 'mgs': 0, 'flw2': 0.11, 'flw1': 3.46, 'flw0': 0.1, 'time': 1.47, 'compass': -5.07, 'pitch': 2.64, 'roll': -0.41}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 21, 'rot0': 20, 'rot3': 6, 'rot2': 8, 'depth': 1.996, 'yaw': -38.84, 'datetime': '2018-12-12 10:38:50.349625', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.02, 'flw0': 0.0, 'time': 1.67, 'compass': -21.95, 'pitch': 0.13, 'roll': -0.53}
{'lipoC2': 8.02, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 7, 'rot2': 9, 'depth': -0.522, 'yaw': -52.46, 'datetime': '2018-12-12 10:38:50.555364', 'mgs': 0, 'flw2': 0.54, 'flw1': 2.64, 'flw0': 0.59, 'time': 1.88, 'compass': -35.57, 'pitch': -2.2, 'roll': -0.02}
{'lipoC2': 8.35, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 22, 'rot0': 22, 'rot3': 8, 'rot2': 10, 'depth': 0.012, 'yaw': -63.39, 'datetime': '2018-12-12 10:38:50.763074', 'mgs': 0, 'flw2': 0.48, 'flw1': 3.19, 'flw0': 0.4, 'time': 2.09, 'compass': -46.51, 'pitch': -3.59, 'roll': 0.51}
{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 24, 'rot0': 23, 'rot3': 9, 'rot2': 12, 'depth': 0.546, 'yaw': -71.91, 'datetime': '2018-12-12 10:38:50.973115', 'mgs': 0, 'flw2': 1.01, 'flw1': 2.43, 'flw0': 1.0, 'time': 2.3, 'compass': -55.02, 'pitch': -4.09, 'roll': 1.1}
{'lipoC2': 8.36, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 26, 'rot0': 24, 'rot3': 10, 'rot2': 13, 'depth': -0.064, 'yaw': -78.04, 'datetime': '2018-12-12 10:38:51.184174', 'mgs': 0, 'flw2': 1.37, 'flw1': 2.55, 'flw0': 1.37, 'time': 2.51, 'compass': -61.15, 'pitch': -3.44, 'roll': 1.73}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 28, 'rot0': 26, 'rot3': 11, 'rot2': 14, 'depth': 2.301, 'yaw': -82.61, 'datetime': '2018-12-12 10:38:51.395482', 'mgs': 0, 'flw2': 1.23, 'flw1': 3.52, 'flw0': 1.18, 'time': 2.72, 'compass': -65.72, 'pitch': -2.57, 'roll': 2.2}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 30, 'rot0': 28, 'rot3': 11, 'rot2': 15, 'depth': -0.903, 'yaw': -85.19, 'datetime': '2018-12-12 10:38:51.604384', 'mgs': 0, 'flw2': 1.29, 'flw1': 2.34, 'flw0': 1.33, 'time': 2.93, 'compass': -68.3, 'pitch': -2.33, 'roll': 2.48}
{'lipoC2': 8.36, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 33, 'rot0': 30, 'rot3': 12, 'rot2': 16, 'depth': 0.623, 'yaw': -85.5, 'datetime': '2018-12-12 10:38:51.816944', 'mgs': 0, 'flw2': 1.51, 'flw1': 2.14, 'flw0': 1.5, 'time': 3.14, 'compass': -68.61, 'pitch': -2.13, 'roll': 2.39}
{'lipoC2': 8.31, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 35, 'rot0': 32, 'rot3': 13, 'rot2': 17, 'depth': -1.743, 'yaw': -83.86, 'datetime': '2018-12-12 10:38:52.026239', 'mgs': 0, 'flw2': 1.66, 'flw1': 2.23, 'flw0': 1.61, 'time': 3.35, 'compass': -66.97, 'pitch': -1.58, 'roll': 2.17}
{'lipoC2': 8.23, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 37, 'rot0': 34, 'rot3': 14, 'rot2': 18, 'depth': 1.538, 'yaw': -80.79, 'datetime': '2018-12-12 10:38:52.232621', 'mgs': 0, 'flw2': 1.14, 'flw1': 2.87, 'flw0': 1.17, 'time': 3.56, 'compass': -63.9, 'pitch': -0.78, 'roll': 2.3}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 39, 'rot0': 35, 'rot3': 15, 'rot2': 19, 'depth': -0.522, 'yaw': -76.61, 'datetime': '2018-12-12 10:38:52.443468', 'mgs': 0, 'flw2': 1.37, 'flw1': 2.31, 'flw0': 1.37, 'time': 3.77, 'compass': -59.72, 'pitch': -0.0, 'roll': 2.84}
{'lipoC2': 8.36, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 42, 'rot0': 37, 'rot3': 16, 'rot2': 20, 'depth': -1.361, 'yaw': -71.81, 'datetime': '2018-12-12 10:38:52.655388', 'mgs': 0, 'flw2': 1.01, 'flw1': 2.11, 'flw0': 0.95, 'time': 3.98, 'compass': -54.92, 'pitch': 0.52, 'roll': 3.41}
{'lipoC2': 8.23, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 43, 'rot0': 39, 'rot3': 16, 'rot2': 22, 'depth': -1.437, 'yaw': -66.73, 'datetime': '2018-12-12 10:38:52.864990', 'mgs': 0, 'flw2': 0.72, 'flw1': 2.52, 'flw0': 0.65, 'time': 4.19, 'compass': -49.84, 'pitch': 0.78, 'roll': 3.35}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 45, 'rot0': 40, 'rot3': 17, 'rot2': 23, 'depth': 1.385, 'yaw': -61.64, 'datetime': '2018-12-12 10:38:53.074745', 'mgs': 0, 'flw2': 0.4, 'flw1': 2.78, 'flw0': 0.42, 'time': 4.4, 'compass': -44.75, 'pitch': 0.9, 'roll': 2.86}
{'lipoC2': 8.07, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 46, 'rot0': 42, 'rot3': 18, 'rot2': 24, 'depth': -0.598, 'yaw': -57.16, 'datetime': '2018-12-12 10:38:53.285101', 'mgs': 0, 'flw2': 0.76, 'flw1': 2.37, 'flw0': 0.7, 'time': 4.61, 'compass': -40.27, 'pitch': 0.99, 'roll': 2.44}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 48, 'rot0': 43, 'rot3': 19, 'rot2': 25, 'depth': -0.598, 'yaw': -52.54, 'datetime': '2018-12-12 10:38:53.496093', 'mgs': 0, 'flw2': 0.26, 'flw1': 2.84, 'flw0': 0.2, 'time': 4.82, 'compass': -35.65, 'pitch': 1.37, 'roll': 2.33}
{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 49, 'rot0': 44, 'rot3': 20, 'rot2': 26, 'depth': -0.293, 'yaw': -48.05, 'datetime': '2018-12-12 10:38:53.706236', 'mgs': 0, 'flw2': 0.15, 'flw1': 2.37, 'flw0': 0.09, 'time': 5.03, 'compass': -31.16, 'pitch': 1.64, 'roll': 2.32}
{'lipoC2': 8.04, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 52, 'rot0': 45, 'rot3': 21, 'rot2': 27, 'depth': -0.522, 'yaw': -43.93, 'datetime': '2018-12-12 10:38:53.919847', 'mgs': 0, 'flw2': 0.55, 'flw1': 2.29, 'flw0': 0.54, 'time': 5.24, 'compass': -27.04, 'pitch': 1.69, 'roll': 2.18}
{'lipoC2': 8.31, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 53, 'rot0': 46, 'rot3': 21, 'rot2': 28, 'depth': -1.514, 'yaw': -40.04, 'datetime': '2018-12-12 10:38:54.126943', 'mgs': 0, 'flw2': 0.21, 'flw1': 3.34, 'flw0': 0.21, 'time': 5.45, 'compass': -23.15, 'pitch': 1.79, 'roll': 2.07}
{'lipoC2': 8.15, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 54, 'rot0': 47, 'rot3': 22, 'rot2': 29, 'depth': 2.301, 'yaw': -36.21, 'datetime': '2018-12-12 10:38:54.335780', 'mgs': 0, 'flw2': 0.62, 'flw1': 2.52, 'flw0': 0.68, 'time': 5.66, 'compass': -19.32, 'pitch': 2.16, 'roll': 2.44}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 55, 'rot0': 48, 'rot3': 23, 'rot2': 30, 'depth': -1.056, 'yaw': -32.48, 'datetime': '2018-12-12 10:38:54.545031', 'mgs': 0, 'flw2': 0.57, 'flw1': 2.67, 'flw0': 0.6, 'time': 5.87, 'compass': -15.6, 'pitch': 2.31, 'roll': 2.92}
