{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -1.13, 'datetime': '2018-12-12 10:57:18.955530', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'compass': 13.62, 'pitch': -4.06, 'roll': 0.17}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -3.24, 'datetime': '2018-12-12 10:57:19.163827', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.32, 'time': 1.57, 'compass': 11.52, 'pitch': -4.46, 'roll': 0.29}
{'lipoC2': 7.97, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -5.13, 'datetime': '2018-12-12 10:57:19.372661', 'mgs': 0, 'flw2': 0.84, 'flw1': 0.0, 'flw0': 0.13, 'time': 1.77, 'compass': 9.63, 'pitch': -4.32, 'roll': 0.42}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -6.32, 'datetime': '2018-12-12 10:57:19.580701', 'mgs': 0, 'flw2': 3.58, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.98, 'compass': 8.44, 'pitch': -3.78, 'roll': 0.46}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -5.96, 'datetime': '2018-12-12 10:57:19.789226', 'mgs': 0, 'flw2': 2.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.19, 'compass': 8.79, 'pitch': -2.75, 'roll': 0.76}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -3.81, 'datetime': '2018-12-12 10:57:19.996436', 'mgs': 0, 'flw2': 1.98, 'flw1': 0.0, 'flw0': 0.05, 'time': 2.4, 'compass': 10.94, 'pitch': -1.13, 'roll': 1.27}
{'lipoC2': 8.23, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -0.34, 'datetime': '2018-12-12 10:57:20.204908', 'mgs': 0, 'flw2': 1.93, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.61, 'compass': 14.41, 'pitch': 0.26, 'roll': 1.67}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 3.63, 'datetime': '2018-12-12 10:57:20.413155', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 2.81, 'compass': 18.39, 'pitch': 1.0, 'roll': 1.79}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 6.62, 'datetime': '2018-12-12 10:57:20.622658', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 3.02, 'compass': 21.37, 'pitch': 0.66, 'roll': 1.44}
{'lipoC2': 8.21, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 0, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 9.14, 'datetime': '2018-12-12 10:57:20.829523', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.23, 'compass': 23.9, 'pitch': -0.77, 'roll': 0.97}
{'lipoC2': 8.0, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 11.25, 'datetime': '2018-12-12 10:57:21.037968', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.17, 'time': 3.44, 'compass': 26.0, 'pitch': -2.88, 'roll': 0.64}
