{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 15, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': -0.08, 'datetime': '2018-12-12 11:24:52.846186', 'mgs': 0, 'flw2': 6.59, 'flw1': 0.0, 'flw0': 6.65, 'time': 1.26, 'compass': -61.37, 'pitch': 6.72, 'roll': 0.47}
{'lipoC2': 7.8, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 20, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -1.49, 'datetime': '2018-12-12 11:24:53.054565', 'mgs': 0, 'flw2': 8.85, 'flw1': 0.0, 'flw0': 7.26, 'time': 1.47, 'compass': -62.78, 'pitch': 7.29, 'roll': 0.28}
{'lipoC2': 7.86, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 24, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -1.84, 'datetime': '2018-12-12 11:24:53.263365', 'mgs': 0, 'flw2': 10.07, 'flw1': 0.32, 'flw0': 7.13, 'time': 1.67, 'compass': -63.13, 'pitch': 8.11, 'roll': 0.09}
{'lipoC2': 7.82, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 30, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': -1.03, 'datetime': '2018-12-12 11:24:53.471162', 'mgs': 0, 'flw2': 9.9, 'flw1': 0.0, 'flw0': 7.07, 'time': 1.88, 'compass': -62.32, 'pitch': 9.29, 'roll': 0.24}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.58, 'state': 'normal', 'rot1': 35, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 2.988, 'yaw': 0.52, 'datetime': '2018-12-12 11:24:53.680547', 'mgs': 0, 'flw2': 10.75, 'flw1': 0.0, 'flw0': 7.37, 'time': 2.09, 'compass': -60.76, 'pitch': 10.54, 'roll': 0.94}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 40, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': 3.598, 'yaw': 2.44, 'datetime': '2018-12-12 11:24:53.888499', 'mgs': 0, 'flw2': 10.38, 'flw1': 0.0, 'flw0': 7.3, 'time': 2.3, 'compass': -58.85, 'pitch': 11.91, 'roll': 1.27}
{'lipoC2': 7.76, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 44, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 4.24, 'datetime': '2018-12-12 11:24:54.098886', 'mgs': 0, 'flw2': 11.17, 'flw1': 0.0, 'flw0': 5.94, 'time': 2.51, 'compass': -57.05, 'pitch': 13.06, 'roll': 1.37}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 49, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': 2.835, 'yaw': 6.75, 'datetime': '2018-12-12 11:24:54.309232', 'mgs': 0, 'flw2': 11.17, 'flw1': 0.0, 'flw0': 6.2, 'time': 2.72, 'compass': -54.54, 'pitch': 12.99, 'roll': 1.56}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 54, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 10.02, 'datetime': '2018-12-12 11:24:54.517372', 'mgs': 0, 'flw2': 11.38, 'flw1': 0.0, 'flw0': 6.48, 'time': 2.92, 'compass': -51.26, 'pitch': 12.07, 'roll': 1.88}
{'lipoC2': 7.85, 'temp': 0.0, 'lipoC3S3': 11.46, 'state': 'normal', 'rot1': 59, 'rot0': 56, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 13.56, 'datetime': '2018-12-12 11:24:54.726859', 'mgs': 0, 'flw2': 11.15, 'flw1': 0.0, 'flw0': 6.53, 'time': 3.13, 'compass': -47.73, 'pitch': 11.52, 'roll': 2.37}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.43, 'state': 'normal', 'rot1': 63, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 17.52, 'datetime': '2018-12-12 11:24:54.938129', 'mgs': 0, 'flw2': 11.05, 'flw1': 0.0, 'flw0': 6.08, 'time': 3.34, 'compass': -43.77, 'pitch': 11.67, 'roll': 2.87}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 68, 'rot0': 65, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 21.24, 'datetime': '2018-12-12 11:24:55.144914', 'mgs': 0, 'flw2': 11.29, 'flw1': 0.09, 'flw0': 5.92, 'time': 3.55, 'compass': -40.05, 'pitch': 11.82, 'roll': 3.36}
{'lipoC2': 8.07, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 72, 'rot0': 70, 'rot3': 0, 'rot2': 0, 'depth': 3.369, 'yaw': 24.97, 'datetime': '2018-12-12 11:24:55.356855', 'mgs': 0, 'flw2': 11.38, 'flw1': 0.0, 'flw0': 6.3, 'time': 3.76, 'compass': -36.32, 'pitch': 12.03, 'roll': 3.66}
{'lipoC2': 7.96, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 76, 'rot0': 75, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 28.4, 'datetime': '2018-12-12 11:24:55.565950', 'mgs': 0, 'flw2': 11.35, 'flw1': 0.0, 'flw0': 6.15, 'time': 3.97, 'compass': -32.89, 'pitch': 12.32, 'roll': 3.94}
{'lipoC2': 7.76, 'temp': 0.0, 'lipoC3S3': 11.63, 'state': 'normal', 'rot1': 81, 'rot0': 80, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 31.9, 'datetime': '2018-12-12 11:24:55.774727', 'mgs': 0, 'flw2': 11.05, 'flw1': 0.5, 'flw0': 6.95, 'time': 4.18, 'compass': -29.39, 'pitch': 12.98, 'roll': 4.0}
{'lipoC2': 7.8, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 86, 'rot0': 85, 'rot3': 0, 'rot2': 0, 'depth': 2.988, 'yaw': 35.31, 'datetime': '2018-12-12 11:24:55.982918', 'mgs': 0, 'flw2': 11.13, 'flw1': 0.0, 'flw0': 7.12, 'time': 4.39, 'compass': -25.98, 'pitch': 13.66, 'roll': 3.97}
{'lipoC2': 7.97, 'temp': 0.0, 'lipoC3S3': 11.46, 'state': 'normal', 'rot1': 91, 'rot0': 91, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 38.65, 'datetime': '2018-12-12 11:24:56.191501', 'mgs': 0, 'flw2': 11.32, 'flw1': 0.0, 'flw0': 6.77, 'time': 4.59, 'compass': -22.64, 'pitch': 13.52, 'roll': 3.94}
{'lipoC2': 7.78, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 96, 'rot0': 95, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 41.89, 'datetime': '2018-12-12 11:24:56.400220', 'mgs': 0, 'flw2': 11.68, 'flw1': 0.0, 'flw0': 8.64, 'time': 4.8, 'compass': -19.4, 'pitch': 12.77, 'roll': 3.77}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 101, 'rot0': 100, 'rot3': 0, 'rot2': 0, 'depth': 2.682, 'yaw': 44.84, 'datetime': '2018-12-12 11:24:56.608814', 'mgs': 0, 'flw2': 11.41, 'flw1': 0.0, 'flw0': 8.5, 'time': 5.01, 'compass': -16.45, 'pitch': 12.94, 'roll': 3.86}
{'lipoC2': 8.04, 'temp': 0.0, 'lipoC3S3': 11.38, 'state': 'normal', 'rot1': 107, 'rot0': 105, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 48.04, 'datetime': '2018-12-12 11:24:56.820171', 'mgs': 0, 'flw2': 10.96, 'flw1': 0.0, 'flw0': 8.97, 'time': 5.22, 'compass': -13.25, 'pitch': 13.42, 'roll': 4.29}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 113, 'rot0': 109, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 51.03, 'datetime': '2018-12-12 11:24:57.029693', 'mgs': 0, 'flw2': 11.18, 'flw1': 0.0, 'flw0': 9.18, 'time': 5.43, 'compass': -10.26, 'pitch': 13.73, 'roll': 4.45}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 119, 'rot0': 114, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 53.49, 'datetime': '2018-12-12 11:24:57.239306', 'mgs': 0, 'flw2': 11.15, 'flw1': 0.0, 'flw0': 10.16, 'time': 5.64, 'compass': -7.8, 'pitch': 13.98, 'roll': 4.62}
{'lipoC2': 7.77, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 126, 'rot0': 119, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 55.46, 'datetime': '2018-12-12 11:24:57.446183', 'mgs': 0, 'flw2': 11.16, 'flw1': 0.7, 'flw0': 10.27, 'time': 5.85, 'compass': -5.83, 'pitch': 14.03, 'roll': 4.99}
{'lipoC2': 7.76, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 133, 'rot0': 124, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 56.9, 'datetime': '2018-12-12 11:24:57.655385', 'mgs': 0, 'flw2': 11.46, 'flw1': 0.73, 'flw0': 11.91, 'time': 6.06, 'compass': -4.39, 'pitch': 13.82, 'roll': 5.34}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 11.47, 'state': 'normal', 'rot1': 141, 'rot0': 129, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 57.75, 'datetime': '2018-12-12 11:24:57.864512', 'mgs': 0, 'flw2': 11.11, 'flw1': 0.41, 'flw0': 12.29, 'time': 6.27, 'compass': -3.54, 'pitch': 13.4, 'roll': 5.17}
{'lipoC2': 8.0, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 149, 'rot0': 134, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 58.33, 'datetime': '2018-12-12 11:24:58.074988', 'mgs': 0, 'flw2': 12.17, 'flw1': 0.0, 'flw0': 12.13, 'time': 6.48, 'compass': -2.96, 'pitch': 13.22, 'roll': 4.87}
{'lipoC2': 8.02, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 157, 'rot0': 139, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 58.69, 'datetime': '2018-12-12 11:24:58.285114', 'mgs': 0, 'flw2': 12.44, 'flw1': 0.0, 'flw0': 12.49, 'time': 6.69, 'compass': -2.6, 'pitch': 13.76, 'roll': 4.23}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 167, 'rot0': 144, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 59.02, 'datetime': '2018-12-12 11:24:58.493485', 'mgs': 0, 'flw2': 12.48, 'flw1': 0.0, 'flw0': 12.49, 'time': 6.89, 'compass': -2.27, 'pitch': 14.38, 'roll': 3.75}
{'lipoC2': 7.82, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 175, 'rot0': 149, 'rot3': 0, 'rot2': 0, 'depth': 3.903, 'yaw': 59.63, 'datetime': '2018-12-12 11:24:58.703136', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.06, 'flw0': 12.49, 'time': 7.1, 'compass': -1.66, 'pitch': 14.9, 'roll': 3.11}
{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 185, 'rot0': 155, 'rot3': 0, 'rot2': 0, 'depth': 3.293, 'yaw': 60.71, 'datetime': '2018-12-12 11:24:58.911476', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.91, 'flw0': 12.49, 'time': 7.31, 'compass': -0.58, 'pitch': 15.55, 'roll': 2.18}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 195, 'rot0': 161, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 62.14, 'datetime': '2018-12-12 11:24:59.121736', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 7.52, 'compass': 0.86, 'pitch': 16.28, 'roll': 1.25}
{'lipoC2': 7.96, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 205, 'rot0': 168, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 63.6, 'datetime': '2018-12-12 11:24:59.331322', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 7.73, 'compass': 2.31, 'pitch': 16.46, 'roll': 0.65}
{'lipoC2': 7.76, 'temp': 0.0, 'lipoC3S3': 11.52, 'state': 'normal', 'rot1': 218, 'rot0': 173, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 64.89, 'datetime': '2018-12-12 11:24:59.542068', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 7.94, 'compass': 3.6, 'pitch': 15.57, 'roll': 0.41}
{'lipoC2': 7.97, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 230, 'rot0': 179, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 65.75, 'datetime': '2018-12-12 11:24:59.750485', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.03, 'flw0': 12.49, 'time': 8.15, 'compass': 4.47, 'pitch': 14.65, 'roll': 0.46}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 240, 'rot0': 184, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 66.25, 'datetime': '2018-12-12 11:24:59.959570', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 8.36, 'compass': 4.97, 'pitch': 14.48, 'roll': 0.62}
{'lipoC2': 8.0, 'temp': 0.0, 'lipoC3S3': 11.47, 'state': 'normal', 'rot1': 250, 'rot0': 190, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 66.75, 'datetime': '2018-12-12 11:25:00.167957', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.32, 'flw0': 12.49, 'time': 8.57, 'compass': 5.46, 'pitch': 15.34, 'roll': 0.59}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 260, 'rot0': 195, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 67.01, 'datetime': '2018-12-12 11:25:00.377771', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.64, 'flw0': 12.49, 'time': 8.78, 'compass': 5.72, 'pitch': 16.12, 'roll': 0.51}
{'lipoC2': 7.79, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 269, 'rot0': 201, 'rot3': 0, 'rot2': 0, 'depth': 4.208, 'yaw': 67.08, 'datetime': '2018-12-12 11:25:00.588394', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 8.99, 'compass': 5.79, 'pitch': 16.44, 'roll': 0.43}
{'lipoC2': 7.76, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 278, 'rot0': 207, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 67.23, 'datetime': '2018-12-12 11:25:00.798058', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.38, 'flw0': 12.49, 'time': 9.2, 'compass': 5.94, 'pitch': 16.44, 'roll': 0.25}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 11.61, 'state': 'normal', 'rot1': 288, 'rot0': 212, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': 67.53, 'datetime': '2018-12-12 11:25:01.010039', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 9.4, 'compass': 6.25, 'pitch': 16.03, 'roll': 0.15}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 11.72, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 67.93, 'datetime': '2018-12-12 11:25:01.220593', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.0, 'time': 9.61, 'compass': 6.64, 'pitch': 13.28, 'roll': -0.3}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 68.78, 'datetime': '2018-12-12 11:25:01.429081', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 9.82, 'compass': 7.49, 'pitch': 5.88, 'roll': -0.45}
{'lipoC2': 7.84, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 69.66, 'datetime': '2018-12-12 11:25:01.640103', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.0, 'time': 10.03, 'compass': 8.37, 'pitch': 0.23, 'roll': 0.1}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 70.5, 'datetime': '2018-12-12 11:25:01.849672', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.11, 'time': 10.24, 'compass': 9.21, 'pitch': -4.48, 'roll': 1.05}
