{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -0.0, 'datetime': '2018-12-12 14:15:29.870527', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.28, 'time': 1.36, 'compass': 85.52, 'pitch': 0.18, 'roll': -0.19}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -0.0, 'datetime': '2018-12-12 14:15:30.078371', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': 85.52, 'pitch': 0.15, 'roll': -0.21}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.01, 'datetime': '2018-12-12 14:15:30.285453', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.77, 'compass': 85.53, 'pitch': -0.18, 'roll': -0.13}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 0.0, 'datetime': '2018-12-12 14:15:30.493593', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 1.98, 'compass': 85.52, 'pitch': -0.64, 'roll': 0.14}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 2, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -0.88, 'datetime': '2018-12-12 14:15:30.700306', 'mgs': 0, 'flw2': 2.53, 'flw1': 0.0, 'flw0': 2.4, 'time': 2.19, 'compass': 84.64, 'pitch': -0.86, 'roll': 0.12}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 5, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -5.79, 'datetime': '2018-12-12 14:15:30.907058', 'mgs': 0, 'flw2': 1.94, 'flw1': 0.0, 'flw0': 2.45, 'time': 2.4, 'compass': 79.74, 'pitch': -0.21, 'roll': -0.97}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 8, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -14.04, 'datetime': '2018-12-12 14:15:31.115360', 'mgs': 0, 'flw2': 1.73, 'flw1': 0.0, 'flw0': 2.1, 'time': 2.61, 'compass': 71.49, 'pitch': 0.41, 'roll': -2.01}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 11, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -23.85, 'datetime': '2018-12-12 14:15:31.326269', 'mgs': 0, 'flw2': 1.55, 'flw1': 0.0, 'flw0': 1.82, 'time': 2.81, 'compass': 61.68, 'pitch': 0.29, 'roll': -2.18}
{'lipoC2': 7.43, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 13, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -33.99, 'datetime': '2018-12-12 14:15:31.535242', 'mgs': 0, 'flw2': 1.15, 'flw1': 0.0, 'flw0': 1.32, 'time': 3.02, 'compass': 51.54, 'pitch': -0.28, 'roll': -1.83}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 14, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -43.26, 'datetime': '2018-12-12 14:15:31.745158', 'mgs': 0, 'flw2': 0.72, 'flw1': 0.0, 'flw0': 0.92, 'time': 3.23, 'compass': 42.26, 'pitch': -0.45, 'roll': -1.11}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 16, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -52.4, 'datetime': '2018-12-12 14:15:31.953746', 'mgs': 0, 'flw2': 0.67, 'flw1': 0.0, 'flw0': 0.44, 'time': 3.44, 'compass': 33.12, 'pitch': -0.23, 'roll': -0.19}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.5, 'state': 'normal', 'rot1': 17, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -60.82, 'datetime': '2018-12-12 14:15:32.162631', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.39, 'time': 3.65, 'compass': 24.71, 'pitch': -0.34, 'roll': 0.37}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 18, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -68.43, 'datetime': '2018-12-12 14:15:32.369728', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.59, 'flw0': 0.21, 'time': 3.86, 'compass': 17.09, 'pitch': -0.87, 'roll': 0.26}
{'lipoC2': 7.53, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 19, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -75.2, 'datetime': '2018-12-12 14:15:32.579920', 'mgs': 0, 'flw2': 0.6, 'flw1': 0.0, 'flw0': 0.57, 'time': 4.07, 'compass': 10.33, 'pitch': -1.4, 'roll': -0.2}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 20, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': -82.0, 'datetime': '2018-12-12 14:15:32.788783', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.4, 'time': 4.27, 'compass': 3.53, 'pitch': -1.44, 'roll': -0.56}
