{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-12 14:21:42.147834', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': 22.21, 'pitch': -0.39, 'roll': 0.2}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.19, 'datetime': '2018-12-12 14:21:42.356046', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 1.47, 'compass': 22.4, 'pitch': -0.34, 'roll': 0.2}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 0.41, 'datetime': '2018-12-12 14:21:42.564178', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 1.67, 'compass': 22.62, 'pitch': -0.65, 'roll': 0.2}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 0.63, 'datetime': '2018-12-12 14:21:42.771118', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': 22.85, 'pitch': -0.74, 'roll': 0.2}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 0.95, 'datetime': '2018-12-12 14:21:42.973658', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.79, 'flw0': 0.18, 'time': 2.09, 'compass': 23.16, 'pitch': -0.57, 'roll': 0.2}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 3, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 0.46, 'datetime': '2018-12-12 14:21:43.181438', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.0, 'flw0': 2.48, 'time': 2.29, 'compass': 22.67, 'pitch': 0.16, 'roll': 0.22}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 6, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -2.15, 'datetime': '2018-12-12 14:21:43.390672', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.64, 'flw0': 2.61, 'time': 2.5, 'compass': 20.06, 'pitch': 1.75, 'roll': 0.19}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 9, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -6.63, 'datetime': '2018-12-12 14:21:43.598979', 'mgs': 0, 'flw2': 1.0, 'flw1': 0.0, 'flw0': 2.72, 'time': 2.71, 'compass': 15.58, 'pitch': 2.6, 'roll': -0.03}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 11, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -12.27, 'datetime': '2018-12-12 14:21:43.816645', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 3.05, 'time': 2.92, 'compass': 9.94, 'pitch': 2.34, 'roll': -0.11}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 14, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -18.52, 'datetime': '2018-12-12 14:21:44.025388', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.15, 'flw0': 2.65, 'time': 3.13, 'compass': 3.69, 'pitch': 1.63, 'roll': 0.07}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 17, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -24.7, 'datetime': '2018-12-12 14:21:44.230494', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.0, 'flw0': 2.43, 'time': 3.34, 'compass': -2.49, 'pitch': 1.35, 'roll': 0.06}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 19, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -30.87, 'datetime': '2018-12-12 14:21:44.439895', 'mgs': 0, 'flw2': 2.42, 'flw1': 0.56, 'flw0': 2.58, 'time': 3.54, 'compass': -8.66, 'pitch': 1.84, 'roll': -0.11}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 21, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -35.32, 'datetime': '2018-12-12 14:21:44.648851', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.0, 'flw0': 0.9, 'time': 3.75, 'compass': -13.11, 'pitch': 3.17, 'roll': -0.12}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 23, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -37.33, 'datetime': '2018-12-12 14:21:44.858138', 'mgs': 0, 'flw2': 2.48, 'flw1': 0.53, 'flw0': 0.59, 'time': 3.96, 'compass': -15.12, 'pitch': 2.77, 'roll': 0.1}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 25, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -37.34, 'datetime': '2018-12-12 14:21:45.069132', 'mgs': 0, 'flw2': 2.34, 'flw1': 0.0, 'flw0': 0.52, 'time': 4.17, 'compass': -15.13, 'pitch': 1.07, 'roll': 0.43}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 26, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -36.17, 'datetime': '2018-12-12 14:21:45.281202', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.0, 'flw0': 0.99, 'time': 4.38, 'compass': -13.96, 'pitch': -0.04, 'roll': 0.71}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 28, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -34.28, 'datetime': '2018-12-12 14:21:45.489176', 'mgs': 0, 'flw2': 2.6, 'flw1': 0.0, 'flw0': 0.72, 'time': 4.59, 'compass': -12.07, 'pitch': 0.17, 'roll': 0.92}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -31.79, 'datetime': '2018-12-12 14:21:45.691104', 'mgs': 0, 'flw2': 2.77, 'flw1': 0.0, 'flw0': 1.0, 'time': 4.8, 'compass': -9.58, 'pitch': 0.41, 'roll': 1.16}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 31, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -29.07, 'datetime': '2018-12-12 14:21:45.897309', 'mgs': 0, 'flw2': 2.43, 'flw1': 0.56, 'flw0': 0.62, 'time': 5.01, 'compass': -6.85, 'pitch': 0.4, 'roll': 1.4}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 33, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -25.93, 'datetime': '2018-12-12 14:21:46.107443', 'mgs': 0, 'flw2': 2.39, 'flw1': 0.62, 'flw0': 0.6, 'time': 5.21, 'compass': -3.71, 'pitch': 0.58, 'roll': 1.39}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.61, 'state': 'normal', 'rot1': 35, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -22.86, 'datetime': '2018-12-12 14:21:46.315267', 'mgs': 0, 'flw2': 2.54, 'flw1': 0.21, 'flw0': 2.81, 'time': 5.42, 'compass': -0.65, 'pitch': 1.19, 'roll': 1.35}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -21.26, 'datetime': '2018-12-12 14:21:46.524006', 'mgs': 0, 'flw2': 2.69, 'flw1': 0.0, 'flw0': 3.02, 'time': 5.63, 'compass': 0.95, 'pitch': 2.18, 'roll': 1.04}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 40, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -20.49, 'datetime': '2018-12-12 14:21:46.734389', 'mgs': 0, 'flw2': 2.88, 'flw1': 0.0, 'flw0': 2.73, 'time': 5.84, 'compass': 1.72, 'pitch': 2.43, 'roll': 0.87}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 44, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -20.34, 'datetime': '2018-12-12 14:21:46.941563', 'mgs': 0, 'flw2': 0.81, 'flw1': 0.0, 'flw0': 3.08, 'time': 6.05, 'compass': 1.88, 'pitch': 1.94, 'roll': 0.86}
{'lipoC2': 7.51, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 47, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -21.88, 'datetime': '2018-12-12 14:21:47.150744', 'mgs': 0, 'flw2': 0.79, 'flw1': 0.0, 'flw0': 2.45, 'time': 6.26, 'compass': 0.33, 'pitch': 1.09, 'roll': 0.6}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 51, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -24.78, 'datetime': '2018-12-12 14:21:47.359011', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.0, 'flw0': 2.69, 'time': 6.47, 'compass': -2.57, 'pitch': 0.91, 'roll': 0.16}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.01, 'state': 'normal', 'rot1': 56, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -28.0, 'datetime': '2018-12-12 14:21:47.572919', 'mgs': 0, 'flw2': 2.87, 'flw1': 0.0, 'flw0': 2.8, 'time': 6.67, 'compass': -5.79, 'pitch': 1.19, 'roll': 0.06}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 59, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -2.2, 'yaw': -30.04, 'datetime': '2018-12-12 14:21:47.781913', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.0, 'flw0': 0.52, 'time': 6.88, 'compass': -7.83, 'pitch': 1.64, 'roll': 0.65}
