{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 0.0, 'datetime': '2018-12-12 14:38:11.279913', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 1.25, 'compass': 140.46, 'pitch': -1.94, 'roll': 3.17}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 0.27, 'datetime': '2018-12-12 14:38:11.486855', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.73, 'flw0': 0.0, 'time': 1.46, 'compass': 140.73, 'pitch': -1.78, 'roll': 3.11}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': 0.45, 'datetime': '2018-12-12 14:38:11.695072', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.27, 'time': 1.67, 'compass': 140.91, 'pitch': -0.81, 'roll': 2.72}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 0.72, 'datetime': '2018-12-12 14:38:11.903263', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 1.88, 'compass': 141.18, 'pitch': -0.55, 'roll': 2.49}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 10.89, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 0.98, 'datetime': '2018-12-12 14:38:12.110323', 'mgs': 0, 'flw2': 6.62, 'flw1': 0.47, 'flw0': 5.97, 'time': 2.09, 'compass': 141.43, 'pitch': -1.77, 'roll': 2.68}
{'lipoC2': 7.17, 'temp': 0.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 5, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': 3.14, 'yaw': -2.82, 'datetime': '2018-12-12 14:38:12.318443', 'mgs': 0, 'flw2': 5.83, 'flw1': 0.0, 'flw0': 6.62, 'time': 2.29, 'compass': 137.64, 'pitch': -2.29, 'roll': 1.88}
{'lipoC2': 7.17, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 9, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -13.9, 'datetime': '2018-12-12 14:38:12.528022', 'mgs': 0, 'flw2': 4.81, 'flw1': 0.0, 'flw0': 5.71, 'time': 2.5, 'compass': 126.56, 'pitch': -0.68, 'roll': -0.41}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.47, 'state': 'normal', 'rot1': 13, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -27.93, 'datetime': '2018-12-12 14:38:12.736143', 'mgs': 0, 'flw2': 4.3, 'flw1': 0.0, 'flw0': 5.24, 'time': 2.71, 'compass': 112.53, 'pitch': 0.55, 'roll': -1.96}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 16, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -35.57, 'datetime': '2018-12-12 14:38:12.946946', 'mgs': 0, 'flw2': 3.52, 'flw1': 0.23, 'flw0': 4.19, 'time': 2.92, 'compass': 104.89, 'pitch': -0.5, 'roll': -1.8}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 18, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': -46.94, 'datetime': '2018-12-12 14:38:13.155057', 'mgs': 0, 'flw2': 2.69, 'flw1': 0.23, 'flw0': 2.97, 'time': 3.13, 'compass': 93.52, 'pitch': -1.41, 'roll': -1.4}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 21, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -59.99, 'datetime': '2018-12-12 14:38:13.365296', 'mgs': 0, 'flw2': 2.7, 'flw1': 0.0, 'flw0': 3.02, 'time': 3.34, 'compass': 80.47, 'pitch': -0.61, 'roll': -1.53}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 24, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -73.06, 'datetime': '2018-12-12 14:38:13.575777', 'mgs': 0, 'flw2': 1.55, 'flw1': 0.53, 'flw0': 1.7, 'time': 3.55, 'compass': 67.4, 'pitch': -0.12, 'roll': -1.86}
