{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 0.0, 'datetime': '2018-12-12 14:38:41.803034', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.25, 'compass': -1.01, 'pitch': -3.87, 'roll': -0.04}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 10.93, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.01, 'datetime': '2018-12-12 14:38:42.106802', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.5, 'flw0': 0.0, 'time': 1.57, 'compass': -1.02, 'pitch': -3.8, 'roll': -0.2}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -0.01, 'datetime': '2018-12-12 14:38:42.313428', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 1.77, 'compass': -1.01, 'pitch': -2.82, 'roll': -0.26}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -0.02, 'datetime': '2018-12-12 14:38:42.521243', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.98, 'compass': -1.03, 'pitch': -1.98, 'roll': -0.18}
{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 11.52, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 0.39, 'datetime': '2018-12-12 14:38:42.738781', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.16, 'time': 2.19, 'compass': -0.62, 'pitch': -2.19, 'roll': -0.19}
{'lipoC2': 7.2, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 1.03, 'datetime': '2018-12-12 14:38:43.043403', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.5, 'compass': 0.03, 'pitch': -3.26, 'roll': -0.21}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 1.42, 'datetime': '2018-12-12 14:38:43.255062', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.71, 'compass': 0.41, 'pitch': -2.99, 'roll': -0.21}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 1.75, 'datetime': '2018-12-12 14:38:43.459594', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.35, 'time': 2.92, 'compass': 0.74, 'pitch': -2.03, 'roll': -0.32}
{'lipoC2': 7.28, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 2.08, 'datetime': '2018-12-12 14:38:43.667776', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.56, 'flw0': 0.0, 'time': 3.12, 'compass': 1.07, 'pitch': -1.64, 'roll': -0.28}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 2.37, 'datetime': '2018-12-12 14:38:43.879220', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.33, 'compass': 1.37, 'pitch': -2.34, 'roll': 0.13}
{'lipoC2': 7.49, 'temp': 0.0, 'lipoC3S3': 11.05, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 2.64, 'datetime': '2018-12-12 14:38:44.086070', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.54, 'compass': 1.64, 'pitch': -3.13, 'roll': 0.3}
