{'lipoC2': 7.49, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -0.01, 'datetime': '2018-12-12 14:40:32.710311', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': -128.12, 'pitch': -2.38, 'roll': 0.72}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -1.23, 'datetime': '2018-12-12 14:40:32.919270', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 1.47, 'compass': -129.33, 'pitch': -1.93, 'roll': 0.74}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -2.2, 'datetime': '2018-12-12 14:40:33.126880', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 1.67, 'compass': -130.31, 'pitch': -1.67, 'roll': 0.66}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -3.29, 'datetime': '2018-12-12 14:40:33.334003', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': -131.4, 'pitch': -2.13, 'roll': 0.55}
{'lipoC2': 7.28, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -4.14, 'datetime': '2018-12-12 14:40:33.540533', 'mgs': 0, 'flw2': 4.44, 'flw1': 0.0, 'flw0': 5.16, 'time': 2.09, 'compass': -132.25, 'pitch': -2.78, 'roll': 0.4}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 10.9, 'state': 'normal', 'rot1': 4, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': -1.59, 'datetime': '2018-12-12 14:40:33.747269', 'mgs': 0, 'flw2': 4.96, 'flw1': 0.0, 'flw0': 4.97, 'time': 2.29, 'compass': -129.7, 'pitch': -2.61, 'roll': 1.26}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 8, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 7.71, 'datetime': '2018-12-12 14:40:33.955208', 'mgs': 0, 'flw2': 4.3, 'flw1': 0.0, 'flw0': 4.7, 'time': 2.5, 'compass': -120.4, 'pitch': -0.83, 'roll': 3.35}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 11, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 20.13, 'datetime': '2018-12-12 14:40:34.164652', 'mgs': 0, 'flw2': 3.71, 'flw1': 0.09, 'flw0': 4.5, 'time': 2.71, 'compass': -107.97, 'pitch': 0.51, 'roll': 4.51}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 14, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 34.27, 'datetime': '2018-12-12 14:40:34.377823', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.12, 'flw0': 2.73, 'time': 2.92, 'compass': -93.84, 'pitch': 0.34, 'roll': 4.43}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 17, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 48.34, 'datetime': '2018-12-12 14:40:34.586065', 'mgs': 0, 'flw2': 1.94, 'flw1': 0.56, 'flw0': 2.33, 'time': 3.13, 'compass': -79.77, 'pitch': -0.62, 'roll': 3.51}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 19, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 62.0, 'datetime': '2018-12-12 14:40:34.795478', 'mgs': 0, 'flw2': 1.82, 'flw1': 0.0, 'flw0': 2.0, 'time': 3.34, 'compass': -66.1, 'pitch': -1.18, 'roll': 2.86}
