{'lipoC2': 7.08, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 0.0, 'datetime': '2018-12-12 14:48:53.489317', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.17, 'time': 1.25, 'compass': 82.68, 'pitch': -3.07, 'roll': -1.17}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 0.73, 'datetime': '2018-12-12 14:48:53.697308', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.12, 'time': 1.46, 'compass': 83.41, 'pitch': -2.99, 'roll': -1.47}
{'lipoC2': 7.2, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 1.43, 'datetime': '2018-12-12 14:48:53.905396', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'compass': 84.11, 'pitch': -2.32, 'roll': -1.21}
{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 2.1, 'datetime': '2018-12-12 14:48:54.112612', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.06, 'flw0': 0.0, 'time': 1.88, 'compass': 84.78, 'pitch': -1.71, 'roll': -0.7}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 2.73, 'datetime': '2018-12-12 14:48:54.320815', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.09, 'compass': 85.4, 'pitch': -1.89, 'roll': -0.51}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 3.32, 'datetime': '2018-12-12 14:48:54.528317', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.29, 'compass': 85.99, 'pitch': -2.46, 'roll': -0.61}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 10.96, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 3.89, 'datetime': '2018-12-12 14:48:54.736313', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.5, 'compass': 86.57, 'pitch': -2.79, 'roll': -0.67}
{'lipoC2': 7.19, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 4.43, 'datetime': '2018-12-12 14:48:54.956840', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 2.71, 'compass': 87.1, 'pitch': -2.77, 'roll': -0.84}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 5.11, 'datetime': '2018-12-12 14:48:55.267322', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.02, 'compass': 87.79, 'pitch': -2.41, 'roll': -1.21}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 5.54, 'datetime': '2018-12-12 14:48:55.470931', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.23, 'compass': 88.22, 'pitch': -1.99, 'roll': -1.28}
{'lipoC2': 7.07, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 5.98, 'datetime': '2018-12-12 14:48:55.680994', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.43, 'compass': 88.66, 'pitch': -1.8, 'roll': -1.16}
