{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.2, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:14.595226', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 1.36, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.811, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:14.802136', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.29, 'time': 1.57, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.2, 'temp': 0.0, 'lipoC3S3': 0.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:15.011128', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 1.77, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:15.219330', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 1.98, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.887, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:15.428048', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.7, 'flw0': 0.0, 'time': 2.19, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:15.634419', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 2.4, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:15.842802', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 2.61, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.582, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:16.051192', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.76, 'flw0': 0.0, 'time': 2.82, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:16.259094', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 3.02, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 0.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:16.465868', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 3.23, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.25, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:16.674621', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 3.44, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 0.11, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:16.882334', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 3.64, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 0.2, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.091117', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.01, 'time': 3.85, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.2, 'temp': 0.0, 'lipoC3S3': 0.03, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.299748', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 4.06, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.887, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.506778', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 4.27, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.714637', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 4.48, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 0.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.923436', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.01, 'time': 4.68, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
