{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.64, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 0.0, 'datetime': '2018-12-18 17:02:18.249128', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.15, 'time': 1.25, 'compass': -92.26, 'pitch': 1.77, 'roll': 2.34}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 0.2, 'datetime': '2018-12-18 17:02:18.457000', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.15, 'flw0': 0.0, 'time': 1.46, 'compass': -92.06, 'pitch': 1.46, 'roll': 2.55}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 0.35, 'datetime': '2018-12-18 17:02:18.665262', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 1.67, 'compass': -91.91, 'pitch': 1.16, 'roll': 2.59}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 0.51, 'datetime': '2018-12-18 17:02:18.873433', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.15, 'flw0': 0.17, 'time': 1.88, 'compass': -91.75, 'pitch': 1.31, 'roll': 2.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 0.67, 'datetime': '2018-12-18 17:02:19.080102', 'mgs': 0, 'flw2': 3.66, 'flw1': 0.64, 'flw0': 3.83, 'time': 2.09, 'compass': -91.59, 'pitch': 1.71, 'roll': 2.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 3, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 3.71, 'datetime': '2018-12-18 17:02:19.289792', 'mgs': 0, 'flw2': 2.73, 'flw1': 0.64, 'flw0': 3.15, 'time': 2.3, 'compass': -88.54, 'pitch': 2.25, 'roll': 3.09}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 6, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 10.98, 'datetime': '2018-12-18 17:02:19.497823', 'mgs': 0, 'flw2': 2.48, 'flw1': 0.0, 'flw0': 2.6, 'time': 2.5, 'compass': -81.28, 'pitch': 2.93, 'roll': 4.07}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 9, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 21.27, 'datetime': '2018-12-18 17:02:19.706784', 'mgs': 0, 'flw2': 1.6, 'flw1': 0.12, 'flw0': 2.2, 'time': 2.71, 'compass': -70.98, 'pitch': 3.28, 'roll': 4.64}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 11, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': 32.38, 'datetime': '2018-12-18 17:02:19.915595', 'mgs': 0, 'flw2': 1.68, 'flw1': 0.0, 'flw0': 1.29, 'time': 2.92, 'compass': -59.88, 'pitch': 3.27, 'roll': 4.43}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 13, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 42.75, 'datetime': '2018-12-18 17:02:20.124394', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.29, 'flw0': 0.98, 'time': 3.13, 'compass': -49.51, 'pitch': 3.38, 'roll': 3.51}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 15, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 52.67, 'datetime': '2018-12-18 17:02:20.333358', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.47, 'flw0': 0.72, 'time': 3.34, 'compass': -39.59, 'pitch': 3.35, 'roll': 2.2}
