{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': -0.05, 'datetime': '2018-12-18 17:13:19.282555', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': -96.3, 'pitch': 0.08, 'roll': 1.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -1.21, 'datetime': '2018-12-18 17:13:19.489793', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.03, 'flw0': 0.0, 'time': 1.47, 'compass': -97.46, 'pitch': 0.14, 'roll': 1.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -2.42, 'datetime': '2018-12-18 17:13:19.697600', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.02, 'time': 1.67, 'compass': -98.67, 'pitch': 0.14, 'roll': 1.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -3.6, 'datetime': '2018-12-18 17:13:19.902969', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.1, 'time': 1.88, 'compass': -99.85, 'pitch': -0.06, 'roll': 1.98}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -4.69, 'datetime': '2018-12-18 17:13:20.107105', 'mgs': 0, 'flw2': 1.06, 'flw1': 0.0, 'flw0': 0.56, 'time': 2.09, 'compass': -100.94, 'pitch': -0.36, 'roll': 1.98}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 2, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -4.84, 'datetime': '2018-12-18 17:13:20.313908', 'mgs': 0, 'flw2': 0.7, 'flw1': 0.47, 'flw0': 0.88, 'time': 2.3, 'compass': -101.09, 'pitch': -0.4, 'roll': 2.1}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 4, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -3.03, 'datetime': '2018-12-18 17:13:20.522172', 'mgs': 0, 'flw2': 0.94, 'flw1': 0.0, 'flw0': 1.05, 'time': 2.5, 'compass': -99.28, 'pitch': 0.05, 'roll': 2.57}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 5, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 0.35, 'datetime': '2018-12-18 17:13:20.731641', 'mgs': 0, 'flw2': 1.06, 'flw1': 0.0, 'flw0': 0.96, 'time': 2.71, 'compass': -95.9, 'pitch': 0.52, 'roll': 2.94}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 7, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 4.67, 'datetime': '2018-12-18 17:13:20.949727', 'mgs': 0, 'flw2': 0.87, 'flw1': 0.0, 'flw0': 0.93, 'time': 2.92, 'compass': -91.58, 'pitch': 0.54, 'roll': 2.91}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 9, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 9.97, 'datetime': '2018-12-18 17:13:21.158065', 'mgs': 0, 'flw2': 0.85, 'flw1': 0.0, 'flw0': 0.56, 'time': 3.13, 'compass': -86.28, 'pitch': 0.01, 'roll': 2.79}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 10, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 15.64, 'datetime': '2018-12-18 17:13:21.366730', 'mgs': 0, 'flw2': 0.68, 'flw1': 0.47, 'flw0': 0.48, 'time': 3.34, 'compass': -80.61, 'pitch': -0.5, 'roll': 2.82}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 12, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 21.2, 'datetime': '2018-12-18 17:13:21.572669', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.35, 'flw0': 0.56, 'time': 3.55, 'compass': -75.05, 'pitch': -0.36, 'roll': 2.86}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 13, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 27.09, 'datetime': '2018-12-18 17:13:21.780335', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.29, 'flw0': 0.52, 'time': 3.75, 'compass': -69.16, 'pitch': 0.23, 'roll': 2.86}
