{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 0.0, 'datetime': '2018-12-18 17:56:27.469286', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 1.25, 'compass': 144.33, 'pitch': 2.16, 'roll': 1.19}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 0.09, 'datetime': '2018-12-18 17:56:27.678475', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 1.46, 'compass': 144.43, 'pitch': 1.42, 'roll': 1.09}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 0.2, 'datetime': '2018-12-18 17:56:27.885372', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'compass': 144.53, 'pitch': 0.97, 'roll': 1.02}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 0.3, 'datetime': '2018-12-18 17:56:28.093307', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': 144.64, 'pitch': 0.51, 'roll': 0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.41, 'datetime': '2018-12-18 17:56:28.309067', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 2.09, 'compass': 144.74, 'pitch': 0.18, 'roll': 0.91}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 0.56, 'datetime': '2018-12-18 17:56:28.517971', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 2.29, 'compass': 144.9, 'pitch': 0.02, 'roll': 0.9}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 0.71, 'datetime': '2018-12-18 17:56:28.725954', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.5, 'compass': 145.05, 'pitch': 0.08, 'roll': 0.88}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 1, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -0.07, 'datetime': '2018-12-18 17:56:28.934512', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 3.15, 'time': 2.71, 'compass': 144.27, 'pitch': 0.69, 'roll': 0.7}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 4, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': -4.01, 'datetime': '2018-12-18 17:56:29.143670', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 3.03, 'time': 2.92, 'compass': 140.33, 'pitch': 2.13, 'roll': 0.1}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 6, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -10.78, 'datetime': '2018-12-18 17:56:29.348955', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 3.1, 'time': 3.13, 'compass': 133.55, 'pitch': 2.69, 'roll': -0.35}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 8, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': -19.19, 'datetime': '2018-12-18 17:56:29.555478', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 2.93, 'time': 3.33, 'compass': 125.15, 'pitch': 2.19, 'roll': -0.35}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 11, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -28.01, 'datetime': '2018-12-18 17:56:29.766022', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 2.97, 'time': 3.54, 'compass': 116.32, 'pitch': 1.89, 'roll': -0.05}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 13, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -36.12, 'datetime': '2018-12-18 17:56:29.970345', 'mgs': 0, 'flw2': 2.64, 'flw1': 0.35, 'flw0': 2.88, 'time': 3.75, 'compass': 108.21, 'pitch': 3.22, 'roll': 0.53}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 16, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -41.98, 'datetime': '2018-12-18 17:56:30.179611', 'mgs': 0, 'flw2': 2.93, 'flw1': 0.0, 'flw0': 2.69, 'time': 3.96, 'compass': 102.36, 'pitch': 4.78, 'roll': 0.86}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 18, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -46.31, 'datetime': '2018-12-18 17:56:30.390080', 'mgs': 0, 'flw2': 3.0, 'flw1': 0.0, 'flw0': 2.99, 'time': 4.16, 'compass': 98.03, 'pitch': 5.23, 'roll': 0.81}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 21, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -49.99, 'datetime': '2018-12-18 17:56:30.596886', 'mgs': 0, 'flw2': 2.92, 'flw1': 0.12, 'flw0': 2.54, 'time': 4.37, 'compass': 94.35, 'pitch': 4.76, 'roll': 0.49}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 23, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -53.07, 'datetime': '2018-12-18 17:56:30.806022', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 2.99, 'time': 4.58, 'compass': 91.26, 'pitch': 4.01, 'roll': -0.01}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 25, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -57.83, 'datetime': '2018-12-18 17:56:31.015743', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.03, 'flw0': 2.73, 'time': 4.79, 'compass': 86.5, 'pitch': 2.48, 'roll': -0.66}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 28, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -64.02, 'datetime': '2018-12-18 17:56:31.223882', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 2.67, 'time': 5.0, 'compass': 80.31, 'pitch': 1.56, 'roll': -1.29}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 30, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': -71.65, 'datetime': '2018-12-18 17:56:31.431547', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 2.92, 'time': 5.21, 'compass': 72.68, 'pitch': 1.69, 'roll': -1.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 32, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -79.95, 'datetime': '2018-12-18 17:56:31.640570', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 3.0, 'time': 5.41, 'compass': 64.39, 'pitch': 2.2, 'roll': -1.4}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 35, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -88.97, 'datetime': '2018-12-18 17:56:31.850449', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 3.06, 'time': 5.62, 'compass': 55.37, 'pitch': 2.52, 'roll': -1.08}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 37, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -98.07, 'datetime': '2018-12-18 17:56:32.060540', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.21, 'flw0': 2.76, 'time': 5.83, 'compass': 46.26, 'pitch': 2.55, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 40, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -108.04, 'datetime': '2018-12-18 17:56:32.268591', 'mgs': 0, 'flw2': 3.14, 'flw1': 0.47, 'flw0': 2.86, 'time': 6.04, 'compass': 36.29, 'pitch': 2.8, 'roll': -1.21}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 42, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -117.05, 'datetime': '2018-12-18 17:56:32.477740', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.0, 'flw0': 3.0, 'time': 6.25, 'compass': 27.29, 'pitch': 3.62, 'roll': -1.5}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 45, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -123.7, 'datetime': '2018-12-18 17:56:32.685903', 'mgs': 0, 'flw2': 2.59, 'flw1': 0.5, 'flw0': 2.91, 'time': 6.46, 'compass': 20.63, 'pitch': 4.82, 'roll': -1.64}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 47, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -128.69, 'datetime': '2018-12-18 17:56:32.896353', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.47, 'flw0': 2.95, 'time': 6.67, 'compass': 15.65, 'pitch': 5.28, 'roll': -1.59}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 49, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -133.91, 'datetime': '2018-12-18 17:56:33.106218', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 3.0, 'time': 6.88, 'compass': 10.43, 'pitch': 4.35, 'roll': -1.75}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 52, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -141.04, 'datetime': '2018-12-18 17:56:33.317055', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.0, 'flw0': 2.76, 'time': 7.09, 'compass': 3.3, 'pitch': 2.78, 'roll': -2.18}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 54, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -149.28, 'datetime': '2018-12-18 17:56:33.523750', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 2.93, 'time': 7.29, 'compass': -4.94, 'pitch': 2.7, 'roll': -2.41}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 56, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -158.27, 'datetime': '2018-12-18 17:56:33.731707', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 2.92, 'time': 7.5, 'compass': -13.94, 'pitch': 3.55, 'roll': -2.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 59, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -167.42, 'datetime': '2018-12-18 17:56:33.941603', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.0, 'flw0': 2.91, 'time': 7.71, 'compass': -23.08, 'pitch': 3.88, 'roll': -2.21}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 61, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -177.6, 'datetime': '2018-12-18 17:56:34.149566', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.21, 'flw0': 2.72, 'time': 7.92, 'compass': -33.27, 'pitch': 3.77, 'roll': -2.1}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 64, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': 171.76, 'datetime': '2018-12-18 17:56:34.361708', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 2.95, 'time': 8.13, 'compass': -43.91, 'pitch': 3.63, 'roll': -2.0}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 66, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 160.76, 'datetime': '2018-12-18 17:56:34.568456', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 2.71, 'time': 8.34, 'compass': -54.91, 'pitch': 3.72, 'roll': -1.81}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 68, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 150.02, 'datetime': '2018-12-18 17:56:34.777066', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 2.99, 'time': 8.55, 'compass': -65.64, 'pitch': 3.83, 'roll': -1.62}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 71, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 138.17, 'datetime': '2018-12-18 17:56:34.985884', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.29, 'flw0': 2.77, 'time': 8.76, 'compass': -77.5, 'pitch': 3.99, 'roll': -1.7}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 73, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 126.07, 'datetime': '2018-12-18 17:56:35.194358', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.0, 'flw0': 2.87, 'time': 8.96, 'compass': -89.6, 'pitch': 4.17, 'roll': -1.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 114.57, 'datetime': '2018-12-18 17:56:35.403660', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.35, 'flw0': 0.0, 'time': 9.17, 'compass': -101.09, 'pitch': 3.72, 'roll': -1.85}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 105.73, 'datetime': '2018-12-18 17:56:35.612187', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.38, 'compass': -109.94, 'pitch': 2.04, 'roll': -0.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 97.86, 'datetime': '2018-12-18 17:56:35.822680', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 9.59, 'compass': -117.8, 'pitch': 0.72, 'roll': 0.11}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 90.93, 'datetime': '2018-12-18 17:56:36.029957', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 9.8, 'compass': -124.73, 'pitch': 0.5, 'roll': 0.69}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 84.67, 'datetime': '2018-12-18 17:56:36.240009', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 10.01, 'compass': -130.99, 'pitch': 0.62, 'roll': 0.67}
