{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-18 18:01:01.424663', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 1.26, 'compass': -150.26, 'pitch': 0.05, 'roll': 1.56}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.0, 'datetime': '2018-12-18 18:01:01.632772', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.18, 'time': 1.47, 'compass': -150.25, 'pitch': 0.1, 'roll': 1.55}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -0.0, 'datetime': '2018-12-18 18:01:01.843727', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'compass': -150.26, 'pitch': 0.28, 'roll': 1.56}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -0.0, 'datetime': '2018-12-18 18:01:02.049378', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.06, 'time': 1.88, 'compass': -150.26, 'pitch': 0.3, 'roll': 1.55}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.03, 'datetime': '2018-12-18 18:01:02.256193', 'mgs': 0, 'flw2': 2.43, 'flw1': 0.41, 'flw0': 2.4, 'time': 2.09, 'compass': -150.23, 'pitch': 0.31, 'roll': 1.57}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 3, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': 2.4, 'datetime': '2018-12-18 18:01:02.463951', 'mgs': 0, 'flw2': 1.98, 'flw1': 0.0, 'flw0': 2.1, 'time': 2.3, 'compass': -147.86, 'pitch': 0.63, 'roll': 2.13}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 5, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 8.08, 'datetime': '2018-12-18 18:01:02.672986', 'mgs': 0, 'flw2': 2.06, 'flw1': 0.0, 'flw0': 1.89, 'time': 2.51, 'compass': -142.17, 'pitch': 1.42, 'roll': 3.09}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 7, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 16.09, 'datetime': '2018-12-18 18:01:02.880886', 'mgs': 0, 'flw2': 1.57, 'flw1': 0.0, 'flw0': 1.78, 'time': 2.71, 'compass': -134.16, 'pitch': 1.86, 'roll': 3.73}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 9, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 24.91, 'datetime': '2018-12-18 18:01:03.091548', 'mgs': 0, 'flw2': 1.56, 'flw1': 0.0, 'flw0': 1.51, 'time': 2.92, 'compass': -125.35, 'pitch': 1.66, 'roll': 3.68}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 11, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 34.71, 'datetime': '2018-12-18 18:01:03.300290', 'mgs': 0, 'flw2': 1.31, 'flw1': 0.0, 'flw0': 1.03, 'time': 3.13, 'compass': -115.54, 'pitch': 1.47, 'roll': 3.31}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 12, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 44.39, 'datetime': '2018-12-18 18:01:03.509659', 'mgs': 0, 'flw2': 1.23, 'flw1': 0.0, 'flw0': 0.84, 'time': 3.34, 'compass': -105.87, 'pitch': 1.73, 'roll': 2.63}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 14, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 53.82, 'datetime': '2018-12-18 18:01:03.719058', 'mgs': 0, 'flw2': 1.06, 'flw1': 0.0, 'flw0': 0.68, 'time': 3.55, 'compass': -96.44, 'pitch': 2.0, 'roll': 2.02}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 16, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 62.57, 'datetime': '2018-12-18 18:01:03.927972', 'mgs': 0, 'flw2': 0.96, 'flw1': 0.0, 'flw0': 0.5, 'time': 3.76, 'compass': -87.69, 'pitch': 1.82, 'roll': 1.82}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 17, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': 71.41, 'datetime': '2018-12-18 18:01:04.136803', 'mgs': 0, 'flw2': 0.73, 'flw1': 0.0, 'flw0': 0.26, 'time': 3.96, 'compass': -78.85, 'pitch': 1.46, 'roll': 1.92}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 18, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 79.8, 'datetime': '2018-12-18 18:01:04.344821', 'mgs': 0, 'flw2': 0.7, 'flw1': 0.0, 'flw0': 0.34, 'time': 4.17, 'compass': -70.45, 'pitch': 1.25, 'roll': 2.04}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 19, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 87.73, 'datetime': '2018-12-18 18:01:04.554684', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.44, 'flw0': 0.4, 'time': 4.38, 'compass': -62.52, 'pitch': 1.16, 'roll': 1.97}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 20, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': 95.19, 'datetime': '2018-12-18 18:01:04.763961', 'mgs': 0, 'flw2': 0.45, 'flw1': 0.35, 'flw0': 0.29, 'time': 4.59, 'compass': -55.07, 'pitch': 1.0, 'roll': 1.83}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 21, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 101.86, 'datetime': '2018-12-18 18:01:04.983229', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.21, 'flw0': 0.0, 'time': 4.8, 'compass': -48.39, 'pitch': 0.85, 'roll': 1.66}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 22, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 107.96, 'datetime': '2018-12-18 18:01:05.192167', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.18, 'time': 5.01, 'compass': -42.3, 'pitch': 0.69, 'roll': 1.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 23, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 114.23, 'datetime': '2018-12-18 18:01:05.401496', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.41, 'flw0': 0.34, 'time': 5.22, 'compass': -36.03, 'pitch': 1.01, 'roll': 1.43}
