{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 0.0, 'datetime': '2018-12-18 18:06:29.975878', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.16, 'time': 1.25, 'compass': -19.98, 'pitch': -1.1, 'roll': 0.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 0.0, 'datetime': '2018-12-18 18:06:30.184132', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.03, 'flw0': 0.0, 'time': 1.46, 'compass': -19.97, 'pitch': -0.94, 'roll': 0.22}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 0.0, 'datetime': '2018-12-18 18:06:30.392503', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 1.67, 'compass': -19.97, 'pitch': -0.65, 'roll': -0.04}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 0.0, 'datetime': '2018-12-18 18:06:30.602393', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.0, 'flw0': 0.2, 'time': 1.88, 'compass': -19.97, 'pitch': -0.69, 'roll': -0.1}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': 0.0, 'datetime': '2018-12-18 18:06:30.805976', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.41, 'flw0': 0.28, 'time': 2.09, 'compass': -19.97, 'pitch': -0.94, 'roll': -0.04}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 1, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.54, 'datetime': '2018-12-18 18:06:31.014191', 'mgs': 0, 'flw2': 0.6, 'flw1': 0.5, 'flw0': 0.57, 'time': 2.3, 'compass': -20.51, 'pitch': -0.86, 'roll': -0.06}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 2, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -2.3, 'datetime': '2018-12-18 18:06:31.223417', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.81, 'time': 2.5, 'compass': -22.28, 'pitch': -0.43, 'roll': -0.31}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 5, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -5.27, 'datetime': '2018-12-18 18:06:31.431104', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.47, 'flw0': 0.52, 'time': 2.71, 'compass': -25.25, 'pitch': -0.3, 'roll': -0.48}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 6, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -9.08, 'datetime': '2018-12-18 18:06:31.645353', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.26, 'flw0': 0.63, 'time': 2.92, 'compass': -29.05, 'pitch': -0.52, 'roll': -0.51}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 7, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -13.28, 'datetime': '2018-12-18 18:06:31.849816', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.47, 'flw0': 0.42, 'time': 3.13, 'compass': -33.26, 'pitch': -0.46, 'roll': -0.55}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 8, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -18.06, 'datetime': '2018-12-18 18:06:32.060060', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.49, 'time': 3.33, 'compass': -38.04, 'pitch': -0.12, 'roll': -0.52}
