{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -0.0, 'datetime': '2018-12-18 20:16:26.866374', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': 139.05, 'pitch': -0.25, 'roll': 1.45}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -0.0, 'datetime': '2018-12-18 20:16:27.074437', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.47, 'compass': 139.05, 'pitch': -0.46, 'roll': 1.74}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -0.0, 'datetime': '2018-12-18 20:16:27.282627', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.12, 'flw0': 0.18, 'time': 1.67, 'compass': 139.05, 'pitch': -0.35, 'roll': 1.77}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 0.01, 'datetime': '2018-12-18 20:16:27.490573', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.12, 'flw0': 0.0, 'time': 1.88, 'compass': 139.06, 'pitch': -0.06, 'roll': 1.64}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 0.01, 'datetime': '2018-12-18 20:16:27.695842', 'mgs': 0, 'flw2': 2.6, 'flw1': 0.0, 'flw0': 2.51, 'time': 2.09, 'compass': 139.06, 'pitch': 0.04, 'roll': 1.56}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 3, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -2.02, 'datetime': '2018-12-18 20:16:27.905148', 'mgs': 0, 'flw2': 1.79, 'flw1': 0.0, 'flw0': 2.05, 'time': 2.3, 'compass': 137.03, 'pitch': 0.13, 'roll': 0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 5, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -7.44, 'datetime': '2018-12-18 20:16:28.113253', 'mgs': 0, 'flw2': 1.81, 'flw1': 0.0, 'flw0': 1.66, 'time': 2.5, 'compass': 131.61, 'pitch': 0.38, 'roll': -0.07}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 7, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': -15.08, 'datetime': '2018-12-18 20:16:28.322307', 'mgs': 0, 'flw2': 1.65, 'flw1': 0.0, 'flw0': 1.37, 'time': 2.71, 'compass': 123.97, 'pitch': 0.27, 'roll': -0.67}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 9, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -24.01, 'datetime': '2018-12-18 20:16:28.534085', 'mgs': 0, 'flw2': 1.59, 'flw1': 0.09, 'flw0': 1.09, 'time': 2.92, 'compass': 115.04, 'pitch': 0.04, 'roll': -0.59}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -33.1, 'datetime': '2018-12-18 20:16:28.744113', 'mgs': 0, 'flw2': 1.33, 'flw1': 0.0, 'flw0': 1.05, 'time': 3.13, 'compass': 105.96, 'pitch': 0.07, 'roll': -0.1}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 12, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -42.78, 'datetime': '2018-12-18 20:16:28.953884', 'mgs': 0, 'flw2': 0.99, 'flw1': 0.0, 'flw0': 1.04, 'time': 3.34, 'compass': 96.28, 'pitch': 0.03, 'roll': 0.48}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 13, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -52.28, 'datetime': '2018-12-18 20:16:29.161165', 'mgs': 0, 'flw2': 0.98, 'flw1': 0.0, 'flw0': 0.48, 'time': 3.55, 'compass': 86.77, 'pitch': -0.19, 'roll': 0.76}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 15, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': -61.04, 'datetime': '2018-12-18 20:16:29.372329', 'mgs': 0, 'flw2': 0.61, 'flw1': 0.0, 'flw0': 0.88, 'time': 3.75, 'compass': 78.01, 'pitch': -0.19, 'roll': 0.72}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 16, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -69.76, 'datetime': '2018-12-18 20:16:29.578615', 'mgs': 0, 'flw2': 0.72, 'flw1': 0.0, 'flw0': 0.24, 'time': 3.96, 'compass': 69.29, 'pitch': 0.13, 'roll': 0.57}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 17, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -77.98, 'datetime': '2018-12-18 20:16:29.788111', 'mgs': 0, 'flw2': 0.54, 'flw1': 0.21, 'flw0': 0.21, 'time': 4.17, 'compass': 61.07, 'pitch': 0.27, 'roll': 0.59}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 18, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -85.57, 'datetime': '2018-12-18 20:16:29.998878', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.06, 'flw0': 0.59, 'time': 4.38, 'compass': 53.48, 'pitch': -0.06, 'roll': 0.83}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 19, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -92.72, 'datetime': '2018-12-18 20:16:30.206230', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.17, 'time': 4.59, 'compass': 46.33, 'pitch': -0.27, 'roll': 1.03}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 20, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -99.31, 'datetime': '2018-12-18 20:16:30.413968', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.44, 'flw0': 0.31, 'time': 4.8, 'compass': 39.75, 'pitch': 0.12, 'roll': 1.05}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': -106.13, 'datetime': '2018-12-18 20:16:30.623692', 'mgs': 0, 'flw2': 0.37, 'flw1': 0.44, 'flw0': 0.31, 'time': 5.01, 'compass': 32.92, 'pitch': 0.61, 'roll': 0.99}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 22, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -112.92, 'datetime': '2018-12-18 20:16:30.832596', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.1, 'time': 5.21, 'compass': 26.13, 'pitch': 0.59, 'roll': 0.86}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 23, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -119.63, 'datetime': '2018-12-18 20:16:31.041854', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.34, 'time': 5.42, 'compass': 19.43, 'pitch': 0.18, 'roll': 0.9}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 24, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -126.23, 'datetime': '2018-12-18 20:16:31.252372', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.0, 'flw0': 0.04, 'time': 5.63, 'compass': 12.82, 'pitch': -0.12, 'roll': 0.91}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 25, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': -132.45, 'datetime': '2018-12-18 20:16:31.460135', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.5, 'flw0': 0.32, 'time': 5.84, 'compass': 6.6, 'pitch': 0.12, 'roll': 0.9}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 26, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -138.91, 'datetime': '2018-12-18 20:16:31.669800', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.05, 'time': 6.05, 'compass': 0.14, 'pitch': 0.61, 'roll': 0.94}
