{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 11.84, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -0.02, 'datetime': '2018-12-18 20:59:26.096041', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 1.25, 'compass': -147.85, 'pitch': 1.08, 'roll': -0.87}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': -0.4, 'datetime': '2018-12-18 20:59:26.303376', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.26, 'flw0': 0.0, 'time': 1.46, 'compass': -148.24, 'pitch': 1.28, 'roll': -0.82}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -0.77, 'datetime': '2018-12-18 20:59:26.508734', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.0, 'time': 1.67, 'compass': -148.61, 'pitch': 2.09, 'roll': -1.09}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': -1.18, 'datetime': '2018-12-18 20:59:26.716920', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': -149.02, 'pitch': 2.42, 'roll': -1.44}
{'lipoC2': 0.19, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.811, 'yaw': -1.58, 'datetime': '2018-12-18 20:59:26.923586', 'mgs': 0, 'flw2': 2.51, 'flw1': 0.0, 'flw0': 1.9, 'time': 2.09, 'compass': -149.42, 'pitch': 1.84, 'roll': -1.61}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.77, 'state': 'normal', 'rot1': 2, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.55, 'datetime': '2018-12-18 20:59:27.131496', 'mgs': 0, 'flw2': 2.09, 'flw1': 0.0, 'flw0': 1.45, 'time': 2.3, 'compass': -148.39, 'pitch': 1.35, 'roll': -1.3}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 5, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 3.77, 'datetime': '2018-12-18 20:59:27.340416', 'mgs': 0, 'flw2': 1.94, 'flw1': 0.0, 'flw0': 1.45, 'time': 2.5, 'compass': -144.07, 'pitch': 1.89, 'roll': -0.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 8, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 10.15, 'datetime': '2018-12-18 20:59:27.545773', 'mgs': 0, 'flw2': 1.89, 'flw1': 0.0, 'flw0': 1.53, 'time': 2.71, 'compass': -137.68, 'pitch': 2.7, 'roll': -0.23}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 18.33, 'datetime': '2018-12-18 20:59:27.760453', 'mgs': 0, 'flw2': 1.53, 'flw1': 0.23, 'flw0': 1.32, 'time': 2.92, 'compass': -129.5, 'pitch': 2.41, 'roll': -0.51}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 12, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 27.3, 'datetime': '2018-12-18 20:59:27.968664', 'mgs': 0, 'flw2': 1.44, 'flw1': 0.0, 'flw0': 0.93, 'time': 3.13, 'compass': -120.54, 'pitch': 1.03, 'roll': -0.78}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 13, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 36.6, 'datetime': '2018-12-18 20:59:28.176758', 'mgs': 0, 'flw2': 1.35, 'flw1': 0.0, 'flw0': 0.81, 'time': 3.34, 'compass': -111.24, 'pitch': 0.04, 'roll': -0.9}
