{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 11.72, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 0.0, 'datetime': '2018-12-18 21:03:42.473111', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.25, 'compass': -12.02, 'pitch': -0.39, 'roll': -1.92}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 0.0, 'datetime': '2018-12-18 21:03:42.680575', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 1.46, 'compass': -12.02, 'pitch': -0.48, 'roll': -2.21}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 0.0, 'datetime': '2018-12-18 21:03:42.886890', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.21, 'flw0': 0.0, 'time': 1.67, 'compass': -12.02, 'pitch': -0.11, 'roll': -2.35}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -0.0, 'datetime': '2018-12-18 21:03:43.095598', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.35, 'flw0': 0.0, 'time': 1.88, 'compass': -12.02, 'pitch': 0.11, 'roll': -2.35}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 0.0, 'datetime': '2018-12-18 21:03:43.305415', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.09, 'compass': -12.02, 'pitch': -0.17, 'roll': -2.35}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': -0.0, 'datetime': '2018-12-18 21:03:43.515554', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.3, 'compass': -12.02, 'pitch': -0.32, 'roll': -2.35}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 0, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 1.12, 'datetime': '2018-12-18 21:03:43.724261', 'mgs': 0, 'flw2': 10.97, 'flw1': 0.47, 'flw0': 0.0, 'time': 2.5, 'compass': -10.89, 'pitch': 0.39, 'roll': -2.18}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 0, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 9.75, 'datetime': '2018-12-18 21:03:43.930406', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.71, 'compass': -2.27, 'pitch': 4.1, 'roll': -1.2}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 4, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 22.84, 'datetime': '2018-12-18 21:03:44.135849', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.35, 'flw0': 12.49, 'time': 2.92, 'compass': 10.82, 'pitch': 6.3, 'roll': -0.56}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 15, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 31.6, 'datetime': '2018-12-18 21:03:44.344538', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 3.13, 'compass': 19.58, 'pitch': 9.29, 'roll': -0.21}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 25, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': 34.71, 'datetime': '2018-12-18 21:03:44.557127', 'mgs': 0, 'flw2': 10.25, 'flw1': 0.35, 'flw0': 12.49, 'time': 3.34, 'compass': 22.69, 'pitch': 10.64, 'roll': 0.13}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 39, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 33.95, 'datetime': '2018-12-18 21:03:44.764162', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 3.55, 'compass': 21.93, 'pitch': 8.73, 'roll': 0.31}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 50, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 32.91, 'datetime': '2018-12-18 21:03:44.973308', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.5, 'flw0': 12.49, 'time': 3.76, 'compass': 20.89, 'pitch': 7.54, 'roll': -0.24}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 60, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 31.9, 'datetime': '2018-12-18 21:03:45.182572', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.49, 'time': 3.96, 'compass': 19.88, 'pitch': 8.04, 'roll': -0.93}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 63, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 32.86, 'datetime': '2018-12-18 21:03:45.390577', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.15, 'flw0': 1.04, 'time': 4.17, 'compass': 20.85, 'pitch': 7.88, 'roll': -1.25}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 65, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 38.94, 'datetime': '2018-12-18 21:03:45.599650', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 1.54, 'time': 4.38, 'compass': 26.93, 'pitch': 5.42, 'roll': -1.07}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 67, 'rot0': 56, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 47.22, 'datetime': '2018-12-18 21:03:45.808237', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 2.6, 'time': 4.59, 'compass': 35.21, 'pitch': 3.89, 'roll': -0.19}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 70, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': 56.0, 'datetime': '2018-12-18 21:03:46.019375', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.47, 'flw0': 6.32, 'time': 4.8, 'compass': 43.98, 'pitch': 4.8, 'roll': 1.32}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 75, 'rot0': 67, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 63.71, 'datetime': '2018-12-18 21:03:46.227627', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.21, 'flw0': 8.0, 'time': 5.01, 'compass': 51.69, 'pitch': 7.65, 'roll': 3.2}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 80, 'rot0': 72, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 69.38, 'datetime': '2018-12-18 21:03:46.436798', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.38, 'flw0': 8.03, 'time': 5.22, 'compass': 57.36, 'pitch': 10.13, 'roll': 4.66}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 84, 'rot0': 78, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 74.4, 'datetime': '2018-12-18 21:03:46.644604', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.5, 'flw0': 7.98, 'time': 5.42, 'compass': 62.38, 'pitch': 10.63, 'roll': 5.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 89, 'rot0': 83, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': 78.55, 'datetime': '2018-12-18 21:03:46.853878', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.44, 'flw0': 8.11, 'time': 5.63, 'compass': 66.53, 'pitch': 9.69, 'roll': 6.52}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 94, 'rot0': 89, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 82.03, 'datetime': '2018-12-18 21:03:47.061999', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 8.01, 'time': 5.84, 'compass': 70.02, 'pitch': 8.44, 'roll': 6.41}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 98, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 84.34, 'datetime': '2018-12-18 21:03:47.271845', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.49, 'time': 6.05, 'compass': 72.32, 'pitch': 6.93, 'roll': 6.48}
