{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:54.883168', 'pitch': 1.13, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.65, 'thr3': 37.0, 'depth': 0.119, 'time': 1.55, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:55.205048', 'pitch': 1.13, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.65, 'thr3': 36.0, 'depth': 0.119, 'time': 1.87, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:55.524293', 'pitch': 1.13, 'rot1': 4, 'rot0': 8, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 1.03, 'cur0': 0.98, 'cur1': 1.11, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.65, 'thr3': 36.0, 'depth': 0.129, 'time': 2.2, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:55.848109', 'pitch': 1.13, 'rot1': 12, 'rot0': 14, 'rot3': 7, 'rot2': 10, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.93, 'cur0': 0.87, 'cur1': 1.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 36.0, 'depth': 0.129, 'time': 2.52, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:56.168227', 'pitch': 1.13, 'rot1': 24, 'rot0': 18, 'rot3': 8, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.98, 'cur0': 0.83, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 36.0, 'depth': 0.119, 'time': 2.84, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:56.490864', 'pitch': 1.13, 'rot1': 32, 'rot0': 22, 'rot3': 9, 'rot2': 12, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.94, 'cur0': 0.92, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.119, 'time': 3.16, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:56.815714', 'pitch': 1.13, 'rot1': 39, 'rot0': 30, 'rot3': 9, 'rot2': 13, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.9, 'cur0': 0.85, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.119, 'time': 3.48, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:57.137899', 'pitch': 1.13, 'rot1': 49, 'rot0': 34, 'rot3': 10, 'rot2': 14, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 1.0, 'cur0': 0.85, 'cur1': 1.03, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.129, 'time': 3.8, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:57.458081', 'pitch': 1.13, 'rot1': 58, 'rot0': 38, 'rot3': 11, 'rot2': 15, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.96, 'cur0': 0.9, 'cur1': 1.03, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 36.0, 'depth': 0.119, 'time': 4.12, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:57.778039', 'pitch': 1.13, 'rot1': 65, 'rot0': 42, 'rot3': 12, 'rot2': 16, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.9, 'cur0': 0.87, 'cur1': 1.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 4.45, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:58.103411', 'pitch': 1.13, 'rot1': 74, 'rot0': 46, 'rot3': 12, 'rot2': 16, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.92, 'cur0': 0.9, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.119, 'time': 4.77, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
