{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:13.972616', 'pitch': 1.45, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.12, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 3.96, 'lipoC2': 0.0, 'temp': 24.77, 'thr3': 37.0, 'depth': 0.129, 'time': 1.39, 'thr2': 32.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:14.292468', 'pitch': 1.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.0, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 3.96, 'lipoC2': 0.0, 'temp': 24.72, 'thr3': 36.0, 'depth': 0.119, 'time': 1.71, 'thr2': 32.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:14.611660', 'pitch': 1.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.94, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 3.96, 'lipoC2': 0.0, 'temp': 24.72, 'thr3': 36.0, 'depth': 0.119, 'time': 2.04, 'thr2': 32.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:14.933480', 'pitch': 1.26, 'rot1': 88, 'rot0': 42, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.89, 'cur2': 2.89, 'cur0': 2.75, 'cur1': 0.0, 'mgs': 0, 'compass': 3.96, 'lipoC2': 0.0, 'temp': 24.73, 'thr3': 41.0, 'depth': 0.119, 'time': 2.36, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:15.257011', 'pitch': 1.25, 'rot1': 105, 'rot0': 51, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.89, 'cur2': 2.73, 'cur0': 2.83, 'cur1': 0.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.73, 'thr3': 37.0, 'depth': 0.119, 'time': 2.68, 'thr2': 32.0, 'yaw': 0.02, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:15.582884', 'pitch': 1.21, 'rot1': 118, 'rot0': 62, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.85, 'cur2': 2.8, 'cur0': 2.55, 'cur1': 0.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.73, 'thr3': 36.0, 'depth': 0.119, 'time': 3.0, 'thr2': 31.0, 'yaw': 0.02, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:15.908923', 'pitch': 1.24, 'rot1': 132, 'rot0': 72, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.85, 'cur2': 2.8, 'cur0': 2.58, 'cur1': 0.0, 'mgs': 0, 'compass': 3.96, 'lipoC2': 0.0, 'temp': 24.73, 'thr3': 36.0, 'depth': 0.119, 'time': 3.32, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:16.228589', 'pitch': 1.25, 'rot1': 146, 'rot0': 82, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.85, 'cur2': 2.81, 'cur0': 2.8, 'cur1': 0.0, 'mgs': 0, 'compass': 4.0, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 3.64, 'thr2': 31.0, 'yaw': 0.04, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:16.550057', 'pitch': 1.23, 'rot1': 164, 'rot0': 92, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.85, 'cur2': 2.67, 'cur0': 2.62, 'cur1': 0.0, 'mgs': 0, 'compass': 4.0, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 3.96, 'thr2': 31.0, 'yaw': 0.04, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:16.873955', 'pitch': 1.74, 'rot1': 177, 'rot0': 102, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.6, 'cur2': 2.61, 'cur0': 2.81, 'cur1': 0.0, 'mgs': 0, 'compass': 3.05, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 4.28, 'thr2': 31.0, 'yaw': -0.92, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:17.193637', 'pitch': 1.42, 'rot1': 190, 'rot0': 112, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.65, 'cur2': 2.76, 'cur0': 2.71, 'cur1': 0.0, 'mgs': 0, 'compass': -5.67, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.129, 'time': 4.61, 'thr2': 31.0, 'yaw': -9.63, 'thr0': 27.0, 'thr1': 27.0}
