{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:03.257833', 'pitch': -169.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -156.67, 'lipoC2': 0.0, 'temp': 24.93, 'thr3': 36.0, 'depth': 0.119, 'time': 1.39, 'thr2': 31.0, 'yaw': 0.5, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:03.578438', 'pitch': -169.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.47, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -157.36, 'lipoC2': 0.0, 'temp': 24.87, 'thr3': 36.0, 'depth': 0.109, 'time': 1.71, 'thr2': 31.0, 'yaw': -0.19, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:03.910961', 'pitch': -169.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.47, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -157.36, 'lipoC2': 0.0, 'temp': 24.88, 'thr3': 35.0, 'depth': 0.109, 'time': 2.03, 'thr2': 31.0, 'yaw': -0.19, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:04.211853', 'pitch': -169.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.48, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -157.37, 'lipoC2': 0.0, 'temp': 24.88, 'thr3': 35.0, 'depth': 0.109, 'time': 2.36, 'thr2': 31.0, 'yaw': -0.19, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:04.531836', 'pitch': -166.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.94, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -157.56, 'lipoC2': 0.0, 'temp': 24.88, 'thr3': 35.0, 'depth': 0.109, 'time': 2.68, 'thr2': 31.0, 'yaw': -0.39, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:04.866755', 'pitch': -168.89, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.02, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -154.7, 'lipoC2': 0.0, 'temp': 24.89, 'thr3': 35.0, 'depth': 0.119, 'time': 3.0, 'thr2': 31.0, 'yaw': 2.47, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:05.186832', 'pitch': -170.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.26, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -156.44, 'lipoC2': 0.0, 'temp': 24.89, 'thr3': 35.0, 'depth': 0.109, 'time': 3.32, 'thr2': 31.0, 'yaw': 0.73, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:05.509997', 'pitch': -172.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.13, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -169.61, 'lipoC2': 0.0, 'temp': 24.89, 'thr3': 35.0, 'depth': 0.119, 'time': 3.64, 'thr2': 31.0, 'yaw': -12.43, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:05.830686', 'pitch': -169.36, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -2.51, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 175.54, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 3.96, 'thr2': 31.0, 'yaw': -27.29, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:06.152990', 'pitch': -166.53, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -3.18, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 173.08, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 4.28, 'thr2': 31.0, 'yaw': -29.75, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:06.473971', 'pitch': -163.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -6.09, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 176.32, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 4.6, 'thr2': 31.0, 'yaw': -26.5, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:06.796012', 'pitch': -164.12, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -4.87, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 172.37, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 4.92, 'thr2': 31.0, 'yaw': -30.46, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:07.112406', 'pitch': -166.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -4.76, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 167.75, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 5.24, 'thr2': 31.0, 'yaw': -35.08, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:07.434081', 'pitch': -168.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.17, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 165.54, 'lipoC2': 0.0, 'temp': 24.89, 'thr3': 35.0, 'depth': 0.109, 'time': 5.56, 'thr2': 31.0, 'yaw': -37.28, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:07.756826', 'pitch': -169.02, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.31, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.88, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 5.88, 'thr2': 31.0, 'yaw': -38.94, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:08.074760', 'pitch': -169.07, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.18, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.52, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 6.2, 'thr2': 31.0, 'yaw': -39.3, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:08.394604', 'pitch': -169.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.13, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.52, 'lipoC2': 0.0, 'temp': 24.89, 'thr3': 35.0, 'depth': 0.119, 'time': 6.52, 'thr2': 31.0, 'yaw': -39.31, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:08.716182', 'pitch': -169.1, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.09, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.52, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 6.84, 'thr2': 31.0, 'yaw': -39.3, 'thr0': 26.0, 'thr1': 26.0}
