{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:15.225136', 'pitch': -0.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 22.71, 'lipoC2': 0.0, 'temp': 25.16, 'thr3': 36.0, 'depth': 0.119, 'time': 1.39, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:15.545895', 'pitch': -0.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 22.8, 'lipoC2': 0.0, 'temp': 25.11, 'thr3': 36.0, 'depth': 0.119, 'time': 1.72, 'thr2': 32.0, 'yaw': 0.09, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:15.867934', 'pitch': -0.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 1, 'flw1': 1, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 22.8, 'lipoC2': 0.0, 'temp': 25.11, 'thr3': 36.0, 'depth': 0.119, 'time': 2.04, 'thr2': 32.0, 'yaw': 0.09, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:16.186448', 'pitch': -0.53, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 1, 'flw1': 1, 'flw0': 0, 'roll': 0.19, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 22.8, 'lipoC2': 0.0, 'temp': 25.11, 'thr3': 36.0, 'depth': 0.119, 'time': 2.36, 'thr2': 32.0, 'yaw': 0.09, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:16.509852', 'pitch': -0.53, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 1, 'flw1': 1, 'flw0': 0, 'roll': 0.19, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 22.8, 'lipoC2': 0.0, 'temp': 25.12, 'thr3': 36.0, 'depth': 0.119, 'time': 2.68, 'thr2': 31.0, 'yaw': 0.09, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:16.833500', 'pitch': -0.53, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.19, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.0, 'lipoC2': 0.0, 'temp': 25.12, 'thr3': 35.0, 'depth': 0.119, 'time': 3.0, 'thr2': 31.0, 'yaw': 0.29, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:17.155976', 'pitch': -0.52, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.27, 'lipoC2': 0.0, 'temp': 25.12, 'thr3': 35.0, 'depth': 0.119, 'time': 3.32, 'thr2': 31.0, 'yaw': 0.56, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:17.477381', 'pitch': -0.52, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.35, 'lipoC2': 0.0, 'temp': 25.12, 'thr3': 35.0, 'depth': 0.129, 'time': 3.64, 'thr2': 31.0, 'yaw': 0.64, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:17.798649', 'pitch': -0.54, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.64, 'lipoC2': 0.0, 'temp': 25.12, 'thr3': 35.0, 'depth': 0.119, 'time': 3.96, 'thr2': 31.0, 'yaw': 0.93, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:18.121021', 'pitch': -0.54, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.72, 'lipoC2': 0.0, 'temp': 25.12, 'thr3': 35.0, 'depth': 0.119, 'time': 4.28, 'thr2': 31.0, 'yaw': 1.01, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:18.442706', 'pitch': -0.54, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.72, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 29.0, 'depth': 0.119, 'time': 4.61, 'thr2': 29.0, 'yaw': 1.01, 'thr0': 26.0, 'thr1': 27.0}
