{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:37.923360', 'pitch': -153.67, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 1, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 80.51, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -150.47, 'lipoC2': 0.0, 'temp': 25.35, 'thr3': 37.0, 'depth': 0.129, 'time': 1.39, 'thr2': 33.0, 'yaw': -0.45, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:38.243462', 'pitch': -155.6, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 80.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -152.38, 'lipoC2': 0.0, 'temp': 25.3, 'thr3': 30.0, 'depth': 0.129, 'time': 1.71, 'thr2': 30.0, 'yaw': -2.36, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:38.572284', 'pitch': -156.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 4, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 80.06, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -153.55, 'lipoC2': 0.0, 'temp': 25.3, 'thr3': 30.0, 'depth': 0.129, 'time': 2.03, 'thr2': 30.0, 'yaw': -3.53, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:38.886044', 'pitch': -157.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.95, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -154.26, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 38.0, 'depth': 0.129, 'time': 2.36, 'thr2': 33.0, 'yaw': -4.24, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:39.206244', 'pitch': -158.02, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.85, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -154.75, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 36.0, 'depth': 0.119, 'time': 2.68, 'thr2': 32.0, 'yaw': -4.73, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:39.532316', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 30.0, 'depth': 0.129, 'time': 3.0, 'thr2': 30.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:39.856302', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 31.0, 'depth': 0.129, 'time': 3.32, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:40.180001', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 31.0, 'depth': 0.129, 'time': 3.64, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:40.499969', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 31.0, 'depth': 0.129, 'time': 3.96, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:40.822967', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 4.28, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:41.142056', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 4.6, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
