{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:41.346281', 'pitch': -1.63, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.36, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.1, 'lipoC2': 0.0, 'temp': 25.46, 'thr3': 32.0, 'depth': 0.149, 'time': 1.39, 'thr2': 31.0, 'yaw': -0.06, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:41.666852', 'pitch': -1.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.38, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.99, 'lipoC2': 0.0, 'temp': 25.4, 'thr3': 32.0, 'depth': 0.149, 'time': 1.71, 'thr2': 31.0, 'yaw': -0.94, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:41.986316', 'pitch': -1.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.39, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.64, 'lipoC2': 0.0, 'temp': 25.41, 'thr3': 32.0, 'depth': 0.149, 'time': 2.03, 'thr2': 31.0, 'yaw': -0.59, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:42.306201', 'pitch': -1.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.39, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.64, 'lipoC2': 0.0, 'temp': 25.41, 'thr3': 32.0, 'depth': 0.149, 'time': 2.36, 'thr2': 31.0, 'yaw': -0.59, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:42.626496', 'pitch': -1.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.39, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.64, 'lipoC2': 0.0, 'temp': 25.42, 'thr3': 32.0, 'depth': 0.149, 'time': 2.68, 'thr2': 31.0, 'yaw': -0.59, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:42.955612', 'pitch': -1.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.38, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.48, 'lipoC2': 0.0, 'temp': 25.42, 'thr3': 32.0, 'depth': 0.139, 'time': 3.0, 'thr2': 31.0, 'yaw': -0.43, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:43.281175', 'pitch': -1.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.41, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -175.1, 'lipoC2': 0.0, 'temp': 25.42, 'thr3': 32.0, 'depth': 0.149, 'time': 3.32, 'thr2': 31.0, 'yaw': -0.06, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:43.601968', 'pitch': -1.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.53, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -176.97, 'lipoC2': 0.0, 'temp': 25.42, 'thr3': 32.0, 'depth': 0.149, 'time': 3.64, 'thr2': 31.0, 'yaw': -1.92, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:43.923592', 'pitch': -1.59, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.56, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -178.92, 'lipoC2': 0.0, 'temp': 25.42, 'thr3': 32.0, 'depth': 0.149, 'time': 3.96, 'thr2': 31.0, 'yaw': -3.87, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:44.244538', 'pitch': -1.66, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.59, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -178.77, 'lipoC2': 0.0, 'temp': 25.42, 'thr3': 32.0, 'depth': 0.149, 'time': 4.28, 'thr2': 31.0, 'yaw': -3.73, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:44.564428', 'pitch': -1.8, 'rot1': 2, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.69, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -177.82, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 4.6, 'thr2': 31.0, 'yaw': -2.77, 'thr0': 27.0, 'thr1': 27.0}
