{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:21.949257', 'pitch': 174.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.54, 'thr3': 32.0, 'depth': 0.159, 'time': 1.39, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:22.268274', 'pitch': 174.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.49, 'thr3': 32.0, 'depth': 0.159, 'time': 1.71, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:22.589588', 'pitch': 174.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.49, 'thr3': 32.0, 'depth': 0.159, 'time': 2.03, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:22.909795', 'pitch': 174.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.17, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.5, 'thr3': 32.0, 'depth': 0.159, 'time': 2.36, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:23.232038', 'pitch': 174.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.16, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.5, 'thr3': 31.0, 'depth': 0.159, 'time': 2.68, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:23.556056', 'pitch': 174.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.16, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.5, 'thr3': 31.0, 'depth': 0.159, 'time': 3.0, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:23.879874', 'pitch': 174.91, 'rot1': 0, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.11, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 3.32, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:24.199998', 'pitch': 174.91, 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.11, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 3.64, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:24.521429', 'pitch': 174.91, 'rot1': 0, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 3.96, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:24.843169', 'pitch': 174.91, 'rot1': 0, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.2, 'cur0': 0.11, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 4.28, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:25.166163', 'pitch': 174.91, 'rot1': 0, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 4.6, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:25.487426', 'pitch': 174.91, 'rot1': 0, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 4.93, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:25.808883', 'pitch': 174.91, 'rot1': 0, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.15, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 5.25, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:26.131627', 'pitch': 174.91, 'rot1': 0, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.149, 'time': 5.57, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:26.452706', 'pitch': 174.91, 'rot1': 0, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 5.89, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:26.775851', 'pitch': 174.91, 'rot1': 0, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.15, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 6.21, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:27.097104', 'pitch': 174.91, 'rot1': 0, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.16, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 31.0, 'depth': 0.159, 'time': 6.53, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:27.418719', 'pitch': 174.91, 'rot1': 0, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.51, 'thr3': 32.0, 'depth': 0.159, 'time': 6.85, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
