{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:08.738088', 'pitch': 4.4, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.53, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 33.0, 'depth': 0.129, 'time': 1.39, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:09.059243', 'pitch': 4.4, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.53, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.6, 'thr3': 33.0, 'depth': 0.129, 'time': 1.71, 'thr2': 33.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:09.376775', 'pitch': 4.4, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.53, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.61, 'thr3': 33.0, 'depth': 0.129, 'time': 2.04, 'thr2': 33.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:09.694568', 'pitch': 4.39, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.6, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.61, 'thr3': 33.0, 'depth': 0.129, 'time': 2.36, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:10.017270', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.8, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 2.68, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:10.346304', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.92, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 3.0, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:10.666714', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.01, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 3.32, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:10.987894', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 3.64, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:11.311173', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 3.96, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:11.634237', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 4.28, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:11.954282', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 4.61, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
