{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:08.744461', 'pitch': 0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.97, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -96.51, 'lipoC2': 0.0, 'temp': 24.52, 'thr3': 33.0, 'depth': 0.238, 'time': 1.55, 'thr2': 33.0, 'yaw': -2.43, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:09.064167', 'pitch': 0.53, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.84, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -101.01, 'lipoC2': 0.0, 'temp': 24.52, 'thr3': 33.0, 'depth': 0.238, 'time': 1.87, 'thr2': 32.0, 'yaw': -6.93, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:09.382339', 'pitch': 0.53, 'rot1': 2, 'rot0': 6, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.85, 'cur2': 1.92, 'cur0': 1.76, 'cur1': 0.0, 'mgs': 0, 'compass': -99.9, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 34.0, 'depth': 0.238, 'time': 2.19, 'thr2': 33.0, 'yaw': -5.82, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:09.701285', 'pitch': 0.32, 'rot1': 7, 'rot0': 13, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 4.08, 'cur2': 1.01, 'cur0': 0.94, 'cur1': 0.0, 'mgs': 0, 'compass': -104.64, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 34.0, 'depth': 0.238, 'time': 2.51, 'thr2': 33.0, 'yaw': -10.56, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:10.025469', 'pitch': 0.33, 'rot1': 10, 'rot0': 18, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.87, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -114.43, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 33.0, 'depth': 0.238, 'time': 2.84, 'thr2': 32.0, 'yaw': -20.35, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:10.348184', 'pitch': 0.2, 'rot1': 12, 'rot0': 21, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.81, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -118.78, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 33.0, 'depth': 0.228, 'time': 3.16, 'thr2': 32.0, 'yaw': -24.7, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:10.680394', 'pitch': 0.31, 'rot1': 16, 'rot0': 27, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.59, 'cur2': 0.38, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -123.53, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 33.0, 'depth': 0.238, 'time': 3.48, 'thr2': 33.0, 'yaw': -29.44, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:11.000328', 'pitch': 1.54, 'rot1': 18, 'rot0': 35, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.43, 'cur2': 0.37, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -119.33, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 33.0, 'depth': 0.238, 'time': 3.8, 'thr2': 32.0, 'yaw': -25.25, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:11.319253', 'pitch': 1.86, 'rot1': 21, 'rot0': 40, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.35, 'cur2': 0.38, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -101.16, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 33.0, 'depth': 0.238, 'time': 4.12, 'thr2': 32.0, 'yaw': -7.08, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:11.641408', 'pitch': 1.67, 'rot1': 22, 'rot0': 41, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.92, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -80.7, 'lipoC2': 0.0, 'temp': 24.53, 'thr3': 33.0, 'depth': 0.238, 'time': 4.45, 'thr2': 32.0, 'yaw': 13.38, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:11.964052', 'pitch': 1.14, 'rot1': 24, 'rot0': 45, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 4.03, 'cur2': 0.4, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -72.46, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 4.77, 'thr2': 32.0, 'yaw': 21.62, 'thr0': 28.0, 'thr1': 28.0}
