{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:18.861456', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.92, 'thr3': 35.0, 'depth': 0.218, 'time': 1.39, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 25.0}
{'lipoC3S3': 0.01, 'datetime': '2019-03-04 11:01:19.177299', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.86, 'thr3': 34.0, 'depth': 0.208, 'time': 1.71, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 24.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:19.497385', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.87, 'thr3': 34.0, 'depth': 0.208, 'time': 2.03, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 25.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:19.818736', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.87, 'thr3': 34.0, 'depth': 0.208, 'time': 2.36, 'thr2': 29.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 24.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:20.141003', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.87, 'thr3': 33.0, 'depth': 0.208, 'time': 2.68, 'thr2': 29.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 23.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:20.470983', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.87, 'thr3': 34.0, 'depth': 0.208, 'time': 3.0, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 24.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:20.788958', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.88, 'thr3': 33.0, 'depth': 0.208, 'time': 3.32, 'thr2': 29.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 24.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:21.107560', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.88, 'thr3': 33.0, 'depth': 0.208, 'time': 3.64, 'thr2': 29.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 24.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:21.428259', 'pitch': 167.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.88, 'thr3': 33.0, 'depth': 0.208, 'time': 3.96, 'thr2': 29.0, 'yaw': 0.0, 'thr0': 25.0, 'thr1': 24.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:21.750254', 'pitch': 167.18, 'rot1': 47, 'rot0': 19, 'rot3': 5, 'rot2': 16, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 3.6, 'cur0': 3.66, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.88, 'thr3': 45.0, 'depth': 0.208, 'time': 4.28, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 23.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-04 11:01:22.069799', 'pitch': 167.18, 'rot1': 64, 'rot0': 39, 'rot3': 5, 'rot2': 17, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -80.72, 'cur2': 2.89, 'cur0': 3.15, 'cur1': 0.0, 'mgs': 0, 'compass': -164.98, 'lipoC2': 0.0, 'temp': 25.88, 'thr3': 36.0, 'depth': 0.208, 'time': 4.61, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 24.0, 'thr1': 24.0}
